,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"PUB G (feat. Branco & Larry 44)",LOLO,586489,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
2,"Blinding Lights","The Weeknd",548187,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,"Godzilla (feat. Juice WRLD)",Eminem,491502,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
4,"The Box","Roddy Ricch",465904,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,"La Trompeta (feat. MellemFingaMuzik)",Camur,465769,https://open.spotify.com/track/0oHSxbawtdWBH9N8SqCjfq
6,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,405116,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
7,"Roses - Imanbek Remix","SAINt JHN",397322,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
8,"Life Is Good (feat. Drake)",Future,383403,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
9,"Limbo (feat. Gilli)",NODE,369322,https://open.spotify.com/track/1zGwWmxXJHFes4dfkbnBUC
10,"Dance Monkey","Tones And I",364551,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
11,Yummy,"Justin Bieber",340862,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
12,Ben,Tessa,321563,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
13,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,314840,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
14,"London Town",Branco,313781,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
15,"Don't Start Now","Dua Lipa",301303,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
16,ROXANNE,"Arizona Zervas",287967,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
17,"everything i wanted","Billie Eilish",286743,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
18,Falling,"Trevor Daniel",284800,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
19,"Det Kom Som Et Chok",Citybois,281837,https://open.spotify.com/track/6SXQfhSHLG3SoqAUZ3g3Pt
20,"VERDEN VENDER",Branco,268843,https://open.spotify.com/track/0qgqH6VqlkIXj45e5tTFCH
21,"Those Kinda Nights (feat. Ed Sheeran)",Eminem,263064,https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH
22,"Lærte Hende Alt (feat. Lærke Emilie)",ATYPISK,259926,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM
23,Sjakalina,Tessa,254057,https://open.spotify.com/track/3LdRxPZLIouyXVFrJVLwg8
24,Circles,"Post Malone",242211,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
25,"Someone You Loved","Lewis Capaldi",234643,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
26,Memories,"Maroon 5",226861,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
27,"Sektion (feat. Branco & Gilli)","Benny Jamz",217166,https://open.spotify.com/track/4vdIHpg2MlGO6WnHZE6oeW
28,"Bonnie & Clyde (Carmon X Alrima)",Carmon,217114,https://open.spotify.com/track/21PXwOjWFh5XlwTia05t3p
29,Trampertøsen,"Jesu Brødre",210534,https://open.spotify.com/track/6zWFU7AgnwajRsTw6qruYW
30,"Ride It",Regard,209921,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
31,Flytilstand,"Benny Jamz",207324,https://open.spotify.com/track/6q90mFphEXrrBfIXAbDLY3
32,"Ayy Macarena",Tyga,205721,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
33,"Before You Go","Lewis Capaldi",199578,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
34,"Adore You","Harry Styles",197094,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
35,Balou,"Benny Jamz",193495,https://open.spotify.com/track/4r2M86IJ1stGAI55PRRib0
36,"Vai Amor",Gilli,192618,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
37,"You should be sad",Halsey,191965,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
38,Lie,"Lukas Graham",188841,https://open.spotify.com/track/27NaNvlmvOHqTF0VPjuRSD
39,"Super Mario",NODE,184604,https://open.spotify.com/track/1LsZymF4MDfVMuzLkySq5P
40,"bad guy","Billie Eilish",179989,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
41,Darkness,Eminem,178964,https://open.spotify.com/track/5SiZJoLXp3WOl3J4C8IK0d
42,"Jaloux (feat. ATYPISK)",Simsey,176302,https://open.spotify.com/track/6VW9gXYrQiTaWiR2Svql03
43,Brandvarm,"Josef Og Elias",175686,https://open.spotify.com/track/5B6QJikgE2fsGpR1BBkapc
44,"Lose You To Love Me","Selena Gomez",175464,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
45,"Lose Control",MEDUZA,172908,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
46,"Sinaloa Stil","Shooter Gang",170436,https://open.spotify.com/track/1tNuRv1Wcagp2f3FVcgknp
47,"If the World Was Ending - feat. Julia Michaels","JP Saxe",168864,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
48,"My Oh My (feat. DaBaby)","Camila Cabello",168040,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
49,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem,163040,https://open.spotify.com/track/0GQ5bFTVFFKpwNPc7KwQnB
50,"Unaccommodating (feat. Young M.A)",Eminem,157146,https://open.spotify.com/track/0q2vG0UVuy6ajjcpkQHdZM
51,"What A Man Gotta Do","Jonas Brothers",156488,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
52,"Good News","Mac Miller",155724,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
53,"hot girl bummer",blackbear,155088,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
54,Señorita,"Shawn Mendes",150386,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
55,"Som Fluer","The Minds Of 99",148535,https://open.spotify.com/track/4diMl3ee8zco6asVZNKjti
56,"Dobbelt (feat. Dayzon)",Jamaika,144240,https://open.spotify.com/track/332HLjESTywYrDN5is9mdT
57,Rare,"Selena Gomez",142960,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
58,"Watermelon Sugar","Harry Styles",139701,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
59,"Beautiful People (feat. Khalid)","Ed Sheeran",139109,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
60,"Ingenting At Sige (feat. NODE)",Gilli,138768,https://open.spotify.com/track/6WZHm21UPkvcmh5VLjhFZg
61,July,"Noah Cyrus",138376,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
62,Gonzo,Suspekt,136652,https://open.spotify.com/track/6bh20cEbXMNJ5JPUvbGSYq
63,Ghost,Christopher,136273,https://open.spotify.com/track/1ySdKj9IbvIRCyjPBe6NpV
64,Suicidal,"YNW Melly",135747,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
65,Eleven,Khalid,135645,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
66,"Leaving Heaven (feat. Skylar Grey)",Eminem,133163,https://open.spotify.com/track/5CpsIb7SMFHjmAG8RvIWfq
67,"No Idea","Don Toliver",133024,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
68,"Break My Stride","Matthew Wilder",131373,https://open.spotify.com/track/1mCsF9Tw4AkIZOjvZbZZdT
69,"Fuck Af (feat. Milbo)","Fie Laursen",128870,https://open.spotify.com/track/7iXrDMiAinSZpD1M6zyBKY
70,"I Don't Care (with Justin Bieber)","Ed Sheeran",127720,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
71,"Endnu (feat. Gilli, Benny Jamz & Branco)",Stepz,125773,https://open.spotify.com/track/1AwE3VLo6qlJ2xi1oS3BwE
72,Salt,"Ava Max",124310,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
73,Bruises,"Lewis Capaldi",121698,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
74,"HIGHEST IN THE ROOM","Travis Scott",121382,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
75,"In Too Deep",Eminem,120940,https://open.spotify.com/track/7Dj2wqPYXfSRFwa6qyOztr
