,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"LA DANZA",Branco,654022,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
2,"Blinding Lights","The Weeknd",592412,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,"Vil Du Med…",Suspekt,479111,https://open.spotify.com/track/1krkFcdC579tuWC334yn1z
4,"Intentions (feat. Quavo)","Justin Bieber",409803,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
5,Gonzo,Suspekt,401463,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
6,"PUB G (feat. Branco & Larry 44)",LOLO,368660,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
7,"The Box","Roddy Ricch",354592,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
8,"Roses - Imanbek Remix","SAINt JHN",343298,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
9,Klovne,RH,339468,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
10,"Pas Oublié (feat. Gilli)","Isaac Kasule",330760,https://open.spotify.com/track/6kyJjIpIjaoBaNx0VjxcwL
11,"Don't Start Now","Dua Lipa",310769,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
12,"BACK TO BUSINESS",Branco,303174,https://open.spotify.com/track/39Bu3mloRh81RhFjGzhwIm
13,"Dance Monkey","Tones And I",282406,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,NAPOLI,Branco,275028,https://open.spotify.com/track/1HGSCFnYif6HrsLqZHE2Kn
15,"No Time To Die","Billie Eilish",271673,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
16,"Say So","Doja Cat",269441,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
17,Ben,Tessa,265749,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
18,Gutterne,Specktors,259441,https://open.spotify.com/track/4xTlom5tmNmAvQ1FCgtfyM
19,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,242136,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
20,"everything i wanted","Billie Eilish",240246,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
21,"Winter Season (feat. Gilli)",Amina,239798,https://open.spotify.com/track/4XVZxIg3UjUTZxPlC5lmnj
22,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,232142,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
23,"Someone You Loved","Lewis Capaldi",225384,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
24,"London Town",Branco,224240,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
25,Falling,"Trevor Daniel",219993,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
26,"Godzilla (feat. Juice WRLD)",Eminem,218860,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
27,"Po Po",ZK,218240,https://open.spotify.com/track/3g1yNMutQGZUmcaVArVaf2
28,"Life Is Good (feat. Drake)",Future,216987,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
29,"Before You Go","Lewis Capaldi",213508,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
30,ROXANNE,"Arizona Zervas",210763,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
31,"Adore You","Harry Styles",204310,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
32,"After Hours","The Weeknd",195044,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
33,"VERDEN VENDER",Branco,193124,https://open.spotify.com/track/1k2HuMmXVnn9X4mGZIwIi4
34,Salt,"Ava Max",192645,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
35,Circles,"Post Malone",188831,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
36,"La Trompeta (feat. MellemFingaMuzik)",Camur,180513,https://open.spotify.com/track/0oHSxbawtdWBH9N8SqCjfq
37,Corona,ADHD,180152,https://open.spotify.com/track/0frObKN0bCAAFmFMnIdOU1
