,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"PUB G (feat. Branco & Larry 44)",LOLO,613471,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
2,Yummy,"Justin Bieber",498327,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
3,"Blinding Lights","The Weeknd",441317,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,428895,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
5,"Dance Monkey","Tones And I",401189,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,"Sektion (feat. Branco & Gilli)","Benny Jamz",394688,https://open.spotify.com/track/4vdIHpg2MlGO6WnHZE6oeW
7,"Roses - Imanbek Remix","SAINt JHN",376012,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
8,"everything i wanted","Billie Eilish",323464,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
9,ROXANNE,"Arizona Zervas",321042,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
10,"Don't Start Now","Dua Lipa",318766,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
11,"London Town",Branco,318076,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
12,Ben,Tessa,313274,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
13,Flytilstand,"Benny Jamz",300060,https://open.spotify.com/track/6q90mFphEXrrBfIXAbDLY3
14,Sjakalina,Tessa,298874,https://open.spotify.com/track/3LdRxPZLIouyXVFrJVLwg8
15,"VERDEN VENDER",Branco,290172,https://open.spotify.com/track/0qgqH6VqlkIXj45e5tTFCH
16,Falling,"Trevor Daniel",284132,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
17,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,280260,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
18,"Lærte Hende Alt (feat. Lærke Emilie)",ATYPISK,263118,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM
19,Circles,"Post Malone",262465,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
20,Balou,"Benny Jamz",256059,https://open.spotify.com/track/4r2M86IJ1stGAI55PRRib0
21,"Ayy Macarena",Tyga,249788,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
22,"Fuck Af (feat. Milbo)","Fie Laursen",244930,https://open.spotify.com/track/7iXrDMiAinSZpD1M6zyBKY
23,"Ride It",Regard,242733,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
24,Memories,"Maroon 5",237182,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
25,"Someone You Loved","Lewis Capaldi",235878,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
26,"Dobbelt (feat. Dayzon)",Jamaika,235579,https://open.spotify.com/track/332HLjESTywYrDN5is9mdT
27,"The Box","Roddy Ricch",219690,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
28,Lie,"Lukas Graham",215535,https://open.spotify.com/track/27NaNvlmvOHqTF0VPjuRSD
