,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,635257,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
2,"Blinding Lights","The Weeknd",487706,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,"Min Bror (Josef Og Elias X ICEKIID)","Josef Og Elias",456645,https://open.spotify.com/track/7ucXd8IbW11iUAOqxmZo7k
4,"Roses - Imanbek Remix","SAINt JHN",374384,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"LA DANZA",Branco,346385,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
6,Klovne,RH,307864,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
7,"Blueberry Faygo","Lil Mosey",297098,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
8,"death bed (coffee for your head)",Powfu,277181,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
9,"In Your Eyes","The Weeknd",276535,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
10,"Don't Start Now","Dua Lipa",274420,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
11,"Så'n der",Tessa,268715,https://open.spotify.com/track/7fuPKXieOyX6mkFHkfcIJd
12,"Intentions (feat. Quavo)","Justin Bieber",260323,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
13,"The Box","Roddy Ricch",244590,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
14,"Say So","Doja Cat",243446,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
15,Supalonely,BENEE,232029,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
16,"Dance Monkey","Tones And I",221549,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
17,"PUB G (feat. Branco & Larry 44)",LOLO,218394,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
18,Gonzo,Suspekt,217903,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
19,"Bilen Skrider (feat. Orgi-E)",NODE,208078,https://open.spotify.com/track/6Yn4B0wEfKLfmtaP7KR7KA
20,"Someone You Loved","Lewis Capaldi",205656,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,Fugtig,"Ude Af Kontrol",205445,https://open.spotify.com/track/3k6n8FdhntF9nzQpVn0OFs
22,"Sunday Best",Surfaces,198013,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
23,Skechers,DripReport,197168,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
24,"Before You Go","Lewis Capaldi",192799,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
25,"Vil Du Med…",Suspekt,189576,https://open.spotify.com/track/1krkFcdC579tuWC334yn1z
26,Salt,"Ava Max",186764,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
27,Falling,"Trevor Daniel",185800,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
28,"Break My Heart","Dua Lipa",185245,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
29,"Smid Tøjet",Jimilian,184298,https://open.spotify.com/track/0r4dJLEJYPVQhJDr5K0C0d
30,Burnout,Calby,174340,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
31,Ghost,Christopher,173648,https://open.spotify.com/track/1ySdKj9IbvIRCyjPBe6NpV
32,Savage,"Megan Thee Stallion",172385,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
33,"Pas Oublié (feat. Gilli)","Isaac Kasule",172003,https://open.spotify.com/track/6kyJjIpIjaoBaNx0VjxcwL
34,"Adore You","Harry Styles",171103,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
35,Ben,Tessa,170904,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
36,Gutterne,Specktors,170552,https://open.spotify.com/track/4xTlom5tmNmAvQ1FCgtfyM
37,"BELIEVE IT",PARTYNEXTDOOR,169702,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
38,"Some Say",Nea,164638,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
