,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Solhverv,"Lord Siva",808821,https://open.spotify.com/track/5x6ggDM895CRGHxS3dwRHz
2,"Blå Himmel (feat. Hans Philip)",KESI,799502,https://open.spotify.com/track/0qA2qykpcGdVl3tiiYum4g
3,ErruDumEllaHvad,ICEKIID,615703,https://open.spotify.com/track/5qaaQp6KvkEdB2q7SKQAcJ
4,"ALL MY LOVE (feat. ATYPISK)",LOLO,591935,https://open.spotify.com/track/0isi84Hc9HMJnK7j8OKueg
5,"Savage Love (Laxed - Siren Beat)","Jawsh 685",454788,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
6,"Snik Snak",Gilli,425276,https://open.spotify.com/track/1rExu7075LZrpDfT0Cg8Kk
7,"Ghetto Fabulous",Tessa,413588,https://open.spotify.com/track/4Al06vYvUi8uPCYzw2b80X
8,"Breaking Me",Topic,397524,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
9,"Hygger Mig pt. 2 (feat. Gilli)",KESI,395690,https://open.spotify.com/track/0XS0OGv7EeH6cj0zCKZnkw
10,Tilbage,KESI,395543,https://open.spotify.com/track/5ktsLwoQZ7JVliJMjEfBZj
11,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,357215,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
12,L.U.V,Gilli,356351,https://open.spotify.com/track/1pfjtl0nQZlFJrjSMlai0F
13,"Head & Heart (feat. MNEK)","Joel Corry",342417,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
14,"Blinding Lights","The Weeknd",328965,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,Avatar,NODE,320035,https://open.spotify.com/track/0V6en6bpNQI7GIzI9TK6cu
16,"Mood Swings (feat. Lil Tjay)","Pop Smoke",303646,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
17,"Watermelon Sugar","Harry Styles",297590,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
18,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",268871,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
19,"Smile (with The Weeknd)","Juice WRLD",265268,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
20,"Baku (feat. ICEKIID)",KESI,250854,https://open.spotify.com/track/22uhcnBpHHimYci7vnj7KC
21,"Come & Go (with Marshmello)","Juice WRLD",250255,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
22,"Roses - Imanbek Remix","SAINt JHN",243124,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
23,"Ballin' (feat. Kojo Funds)",Branco,241735,https://open.spotify.com/track/4AUqlf2xxTBTOjBaUiIejM
24,"I Nat (Artigeardit X Medina)",Artigeardit,226104,https://open.spotify.com/track/14NfniBTQArNScCIX3panA
25,"Snak Lidt Med Mig",KESI,220080,https://open.spotify.com/track/731FIGdc3VR6NKE3sFoCHH
26,Secrets,Regard,214488,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
27,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",211175,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
28,"Rover (feat. DTG)",S1mba,208356,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
