,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ErruDumEllaHvad,ICEKIID,559882,https://open.spotify.com/track/5qaaQp6KvkEdB2q7SKQAcJ
2,Solhverv,"Lord Siva",530001,https://open.spotify.com/track/5x6ggDM895CRGHxS3dwRHz
3,"ALL MY LOVE (feat. ATYPISK)",LOLO,522248,https://open.spotify.com/track/0isi84Hc9HMJnK7j8OKueg
4,"Snik Snak",Gilli,448403,https://open.spotify.com/track/1rExu7075LZrpDfT0Cg8Kk
5,"Savage Love (Laxed - Siren Beat)","Jawsh 685",445987,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
6,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,377488,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
7,"Breaking Me",Topic,363397,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
8,L.U.V,Gilli,351350,https://open.spotify.com/track/1pfjtl0nQZlFJrjSMlai0F
9,"Blinding Lights","The Weeknd",323919,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,Avatar,NODE,320327,https://open.spotify.com/track/0V6en6bpNQI7GIzI9TK6cu
11,"Watermelon Sugar","Harry Styles",285711,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,"Come & Go (with Marshmello)","Juice WRLD",283744,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
13,Tilbage,KESI,282429,https://open.spotify.com/track/34mLaAt4HZzQOIplvRTURn
14,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",268832,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
15,"Ballin' (feat. Kojo Funds)",Branco,263956,https://open.spotify.com/track/4AUqlf2xxTBTOjBaUiIejM
16,"Roses - Imanbek Remix","SAINt JHN",236876,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
17,"Rover (feat. DTG)",S1mba,232535,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
18,Brobizz,Gigis,206812,https://open.spotify.com/track/3xLgpixCKiEXyrBxpNJwga
19,"In Your Eyes","The Weeknd",202037,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
20,cardigan,"Taylor Swift",200398,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
21,Secrets,Regard,196192,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
22,"LA DANZA",Branco,194075,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
23,"Got It On Me","Pop Smoke",193812,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
24,"Wishing Well","Juice WRLD",190636,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
25,SPORT,TopGunn,189677,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM
