,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,539927,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Tættere End Vi Tror",P3,454319,https://open.spotify.com/track/4j5QQ3eZNpmxT4inyVEaAU
3,"Blinding Lights","The Weeknd",452755,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,GOOBA,6ix9ine,434302,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
5,SPORT,TopGunn,433814,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM
6,"Stuck with U (with Justin Bieber)","Ariana Grande",410879,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
7,"Toosie Slide",Drake,382141,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
8,"Sol Over København (feat. KESI)",Citybois,372118,https://open.spotify.com/track/3vKxpV0TZem4Ton7M8c1UJ
9,"Roses - Imanbek Remix","SAINt JHN",342746,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,"THE SCOTTS","THE SCOTTS",335745,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
11,"LA DANZA",Branco,294674,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
12,Klovne,RH,285953,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
13,"NO SKRUB$",TopGunn,285320,https://open.spotify.com/track/6iV6FxCwplHr8IzwdnX5xX
14,"Min Bror (Josef Og Elias X ICEKIID)","Josef Og Elias",277115,https://open.spotify.com/track/7ucXd8IbW11iUAOqxmZo7k
15,"In Your Eyes","The Weeknd",267385,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
16,"Blueberry Faygo","Lil Mosey",250380,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
17,"WHIP WHOP",I$WAAL,243473,https://open.spotify.com/track/1PxGMn63iT7sc4eS52c9UP
18,"Ringer I Morgen",Citybois,238279,https://open.spotify.com/track/61eckJLYE3bdntvxqrFwsd
19,Gelato,"Benny Jamz",235552,https://open.spotify.com/track/3dradzYJqQ88RJEuQhXt5d
20,"Intentions (feat. Quavo)","Justin Bieber",225116,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
21,Supalonely,BENEE,224501,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
22,"death bed (coffee for your head)",Powfu,224083,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
23,Gonzo,Suspekt,215691,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
24,"Don't Start Now","Dua Lipa",213653,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
25,"Rover (feat. DTG)",S1mba,207832,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
26,"Say So","Doja Cat",206927,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
27,"Smid Tøjet",Jimilian,198560,https://open.spotify.com/track/0r4dJLEJYPVQhJDr5K0C0d
28,"Så'n der",Tessa,196964,https://open.spotify.com/track/7fuPKXieOyX6mkFHkfcIJd
29,"Someone You Loved","Lewis Capaldi",196262,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
