,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",534388,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"LA DANZA",Branco,385978,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
3,"Roses - Imanbek Remix","SAINt JHN",374260,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,Klovne,RH,326894,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
5,"In Your Eyes","The Weeknd",324862,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
6,"Don't Start Now","Dua Lipa",323749,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
7,"Så'n der",Tessa,319686,https://open.spotify.com/track/7fuPKXieOyX6mkFHkfcIJd
8,"death bed (coffee for your head)",Powfu,315797,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
9,"Intentions (feat. Quavo)","Justin Bieber",302411,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
10,"The Box","Roddy Ricch",290372,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
11,"Say So","Doja Cat",271062,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
12,Supalonely,BENEE,258073,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
13,Gonzo,Suspekt,253376,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
14,"PUB G (feat. Branco & Larry 44)",LOLO,251143,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
15,"Blueberry Faygo","Lil Mosey",247656,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
16,"Dance Monkey","Tones And I",242837,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
17,"Sunday Best",Surfaces,231691,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
18,"Vil Du Med…",Suspekt,231621,https://open.spotify.com/track/1krkFcdC579tuWC334yn1z
19,"BELIEVE IT",PARTYNEXTDOOR,231462,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
20,"Break My Heart","Dua Lipa",220112,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
21,"Someone You Loved","Lewis Capaldi",216253,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,Scars,"Lukas Graham",207306,https://open.spotify.com/track/0HCjXEQF533z8Z9LuX28cL
23,"Smid Tøjet",Jimilian,206987,https://open.spotify.com/track/0r4dJLEJYPVQhJDr5K0C0d
24,"Before You Go","Lewis Capaldi",203635,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
25,Falling,"Trevor Daniel",202698,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
26,Burnout,Calby,197608,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
27,"Adore You","Harry Styles",195177,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
28,"Glemmer Alting",Faustix,192008,https://open.spotify.com/track/52OdlOXMRYH9hNa1xpRVj1
29,"Pas Oublié (feat. Gilli)","Isaac Kasule",188828,https://open.spotify.com/track/6kyJjIpIjaoBaNx0VjxcwL
30,Ben,Tessa,186401,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
31,Gutterne,Specktors,185060,https://open.spotify.com/track/4xTlom5tmNmAvQ1FCgtfyM
