,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"KIKI (feat. Gilli)",LOLO,712116,https://open.spotify.com/track/4Mh5wGoyhpzYECcGdmXTmc
2,Tilbage,KESI,674146,https://open.spotify.com/track/34mLaAt4HZzQOIplvRTURn
3,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,617759,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
4,GOOBA,6ix9ine,458479,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
5,"Blinding Lights","The Weeknd",453257,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"Glo På Mig",Tessa,417694,https://open.spotify.com/track/0u2HxcwML2msMuuKUvpck8
7,"Sol Over København (feat. KESI)",Citybois,406602,https://open.spotify.com/track/0NnmpMt8M9mthgrfuerLfD
8,SPORT,TopGunn,399968,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM
9,"Tættere End Vi Tror",P3,378582,https://open.spotify.com/track/4j5QQ3eZNpmxT4inyVEaAU
10,"Roses - Imanbek Remix","SAINt JHN",338611,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
11,"Toosie Slide",Drake,335331,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
12,"Stuck with U (with Justin Bieber)","Ariana Grande",299545,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
13,"LA DANZA",Branco,296079,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
14,Klovne,RH,295708,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
15,"THE SCOTTS","THE SCOTTS",293589,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
16,"Rover (feat. DTG)",S1mba,275433,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
17,Hangover,"Ude Af Kontrol",267477,https://open.spotify.com/track/0HRnmcWxw0Aeu4VtQXg42j
18,"In Your Eyes","The Weeknd",261472,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
19,"Min Bror (Josef Og Elias X ICEKIID)","Josef Og Elias",258605,https://open.spotify.com/track/7ucXd8IbW11iUAOqxmZo7k
20,"WHIP WHOP",I$WAAL,249618,https://open.spotify.com/track/1PxGMn63iT7sc4eS52c9UP
21,"NO SKRUB$",TopGunn,244716,https://open.spotify.com/track/6iV6FxCwplHr8IzwdnX5xX
22,"Blueberry Faygo","Lil Mosey",241982,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
23,Gelato,"Benny Jamz",238492,https://open.spotify.com/track/3dradzYJqQ88RJEuQhXt5d
24,Gonzo,Suspekt,228228,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
25,"Så'n der",Tessa,224467,https://open.spotify.com/track/7fuPKXieOyX6mkFHkfcIJd
26,"Kærlighed Gør Blind",Citybois,224197,https://open.spotify.com/track/1THxYDFV4EK59BzgUs5Yg0
27,"Intentions (feat. Quavo)","Justin Bieber",214561,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
28,"death bed (coffee for your head)",Powfu,214407,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
29,Supalonely,BENEE,205718,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
30,"Smid Tøjet",Jimilian,204995,https://open.spotify.com/track/0r4dJLEJYPVQhJDr5K0C0d
31,"Don't Start Now","Dua Lipa",201469,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
32,"PUB G (feat. Branco & Larry 44)",LOLO,201173,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
33,Ben,Tessa,198325,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
34,"Ringer I Morgen",Citybois,197234,https://open.spotify.com/track/566gH3ajC9UuhLc9fm2GsO
35,"Before You Go","Lewis Capaldi",196028,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
36,"Someone You Loved","Lewis Capaldi",194690,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
37,"ily (i love you baby) (feat. Emilee)","Surf Mesa",194090,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
38,"Party Girl",StaySolidRocky,193742,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
39,Burnout,Calby,193099,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
40,"Dance Monkey","Tones And I",185607,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
41,Salt,"Ava Max",182224,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
42,"Breaking Me",Topic,178395,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
43,"Break My Heart","Dua Lipa",177297,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
44,"Say So","Doja Cat",176854,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
45,"Slip Away",Phlake,173900,https://open.spotify.com/track/65OZiiwtjWVtS0WZdG2wmO
46,"The Box","Roddy Ricch",171205,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
47,"WHATS POPPIN","Jack Harlow",163318,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
48,Sandheden,Jimilian,159038,https://open.spotify.com/track/4mWw2Yt7o14GkkIdTrrxuc
49,"Adore You","Harry Styles",157492,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
50,Gutterne,Specktors,155283,https://open.spotify.com/track/4fPd5WKY0Qf9eeg0pHowA1
51,"Når Du Møder Mig (feat. Michael Williams)",Citybois,151544,https://open.spotify.com/track/2OSiCdOnBNKtEHZQpBAgLc
52,"Du Ka' Li'",Citybois,148550,https://open.spotify.com/track/0f7Z4VKDktgO4YaAXmm3SY
53,"Genie In A Bottle",Faustix,146022,https://open.spotify.com/track/3xTj27LibA0NDDvHNiFPpG
54,Fugtig,"Ude Af Kontrol",145218,https://open.spotify.com/track/3k6n8FdhntF9nzQpVn0OFs
