,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"BACK TO BUSINESS",Branco,728773,https://open.spotify.com/track/39Bu3mloRh81RhFjGzhwIm
2,"Blinding Lights","The Weeknd",632726,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,"PUB G (feat. Branco & Larry 44)",LOLO,509426,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
4,"The Box","Roddy Ricch",441266,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,"Godzilla (feat. Juice WRLD)",Eminem,412655,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
6,"Winter Season (feat. Gilli)",Amina,392098,https://open.spotify.com/track/4XVZxIg3UjUTZxPlC5lmnj
7,"Roses - Imanbek Remix","SAINt JHN",365856,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
8,"everything i wanted","Billie Eilish",336085,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
9,"Dance Monkey","Tones And I",333706,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
10,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,325368,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
11,"Life Is Good (feat. Drake)",Future,321530,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
12,"La Trompeta (feat. MellemFingaMuzik)",Camur,318560,https://open.spotify.com/track/0oHSxbawtdWBH9N8SqCjfq
13,"Don't Start Now","Dua Lipa",306991,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
14,Ben,Tessa,280226,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
15,"VERDEN VENDER",Branco,277959,https://open.spotify.com/track/1k2HuMmXVnn9X4mGZIwIi4
16,Falling,"Trevor Daniel",275364,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
17,"London Town",Branco,273831,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
18,Yummy,"Justin Bieber",264099,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
19,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,262501,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
20,"What If I Told You That I Love You","Ali Gatie",257271,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
21,ROXANNE,"Arizona Zervas",257132,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
22,"Limbo (feat. Gilli)",NODE,244184,https://open.spotify.com/track/1zGwWmxXJHFes4dfkbnBUC
23,"Someone You Loved","Lewis Capaldi",243718,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
24,"LA DANZA",Branco,242727,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
25,"Before You Go","Lewis Capaldi",227081,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
26,Circles,"Post Malone",224492,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
27,"bad guy","Billie Eilish",222485,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
28,"Lærte Hende Alt (feat. Lærke Emilie)",ATYPISK,220478,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM
29,NAPOLI,Branco,215424,https://open.spotify.com/track/1HGSCFnYif6HrsLqZHE2Kn
30,Memories,"Maroon 5",209860,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
31,"Idiot (feat. Karl William)",Artigeardit,203210,https://open.spotify.com/track/0tyDCQ9jftD7oeswh9KrXX
32,Sjakalina,Tessa,198415,https://open.spotify.com/track/3LdRxPZLIouyXVFrJVLwg8
33,"Adore You","Harry Styles",198389,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
34,"You should be sad",Halsey,189724,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
35,"Vai Amor",Gilli,184410,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
36,Salt,"Ava Max",181433,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
37,"Lose Control",MEDUZA,179905,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
38,"Ride It",Regard,177240,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
39,"Weekend Hver Dag","Josef Og Elias",172024,https://open.spotify.com/track/7FreZPHSPVyZKBDYtFXTJf
40,"If the World Was Ending - feat. Julia Michaels","JP Saxe",166371,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
