,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,639315,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
2,"Blinding Lights","The Weeknd",528620,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,"Roses - Imanbek Remix","SAINt JHN",397196,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"LA DANZA",Branco,389293,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
5,Fugtig,"Ude Af Kontrol",385560,https://open.spotify.com/track/3k6n8FdhntF9nzQpVn0OFs
6,Klovne,RH,332351,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
7,"Så'n der",Tessa,311731,https://open.spotify.com/track/7fuPKXieOyX6mkFHkfcIJd
8,"Don't Start Now","Dua Lipa",311521,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
9,"death bed (coffee for your head)",Powfu,306766,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
10,"Blueberry Faygo","Lil Mosey",304245,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
11,"In Your Eyes","The Weeknd",293753,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
12,"Intentions (feat. Quavo)","Justin Bieber",284796,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
13,"The Box","Roddy Ricch",271810,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
14,"Say So","Doja Cat",264016,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
15,Supalonely,BENEE,261689,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
16,Gonzo,Suspekt,251174,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
17,"Dance Monkey","Tones And I",249836,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
18,"PUB G (feat. Branco & Larry 44)",LOLO,240135,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
19,"Vil Du Med…",Suspekt,223452,https://open.spotify.com/track/1krkFcdC579tuWC334yn1z
20,"Sunday Best",Surfaces,216272,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
21,"Someone You Loved","Lewis Capaldi",216259,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,"BELIEVE IT",PARTYNEXTDOOR,208627,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
23,"Before You Go","Lewis Capaldi",202423,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
