,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,594189,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,Tilbage,KESI,550370,https://open.spotify.com/track/34mLaAt4HZzQOIplvRTURn
3,"KIKI (feat. Gilli)",LOLO,549678,https://open.spotify.com/track/4Mh5wGoyhpzYECcGdmXTmc
4,Avatar,NODE,508220,https://open.spotify.com/track/0V6en6bpNQI7GIzI9TK6cu
5,"Blinding Lights","The Weeknd",433273,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,SPORT,TopGunn,389735,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM
7,GOOBA,6ix9ine,359379,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
8,"Sol Over København (feat. KESI)",Citybois,334413,https://open.spotify.com/track/0NnmpMt8M9mthgrfuerLfD
9,"Roses - Imanbek Remix","SAINt JHN",320541,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,"Tættere End Vi Tror",P3,318238,https://open.spotify.com/track/4j5QQ3eZNpmxT4inyVEaAU
11,"Rover (feat. DTG)",S1mba,315836,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
12,Klovne,RH,300945,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
13,"Glo På Mig",Tessa,300110,https://open.spotify.com/track/0u2HxcwML2msMuuKUvpck8
14,"Toosie Slide",Drake,281523,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
15,"Rain On Me (with Ariana Grande)","Lady Gaga",276524,https://open.spotify.com/track/24ySl2hOPGCDcxBxFIqWBu
16,Nudes,Jada,275378,https://open.spotify.com/track/1un8VQdm76q7UsLtIGvR2B
17,"LA DANZA",Branco,263240,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
18,"WHIP WHOP",I$WAAL,255506,https://open.spotify.com/track/1PxGMn63iT7sc4eS52c9UP
19,"THE SCOTTS","THE SCOTTS",239081,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
20,"Stuck with U (with Justin Bieber)","Ariana Grande",234456,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
21,"Min Bror (Josef Og Elias X ICEKIID)","Josef Og Elias",230900,https://open.spotify.com/track/7ucXd8IbW11iUAOqxmZo7k
22,"In Your Eyes","The Weeknd",225959,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
23,"Blueberry Faygo","Lil Mosey",217111,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
24,"Så'n der",Tessa,216530,https://open.spotify.com/track/7fuPKXieOyX6mkFHkfcIJd
25,Gelato,"Benny Jamz",216434,https://open.spotify.com/track/3dradzYJqQ88RJEuQhXt5d
26,"NO SKRUB$",TopGunn,216375,https://open.spotify.com/track/6iV6FxCwplHr8IzwdnX5xX
27,Gonzo,Suspekt,209504,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
28,Ben,Tessa,206029,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
29,"Leap Of Faith",Christopher,203384,https://open.spotify.com/track/571B8LxRZwmG1S1YNfGq4Q
30,Burnout,Calby,201971,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
31,"death bed (coffee for your head)",Powfu,201487,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
32,"Blitz, Baby",Jung,201473,https://open.spotify.com/track/2dSK7HZu6mxsb0Lx82CxeY
33,"Smid Tøjet",Jimilian,200643,https://open.spotify.com/track/0r4dJLEJYPVQhJDr5K0C0d
34,"Intentions (feat. Quavo)","Justin Bieber",198115,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
35,"Party Girl",StaySolidRocky,197735,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
36,"ily (i love you baby) (feat. Emilee)","Surf Mesa",195065,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
37,"Breaking Me",Topic,188639,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
38,"Before You Go","Lewis Capaldi",187818,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
39,"PUB G (feat. Branco & Larry 44)",LOLO,184204,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
40,"Someone You Loved","Lewis Capaldi",183868,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
41,Ghost,Christopher,182452,https://open.spotify.com/track/1ySdKj9IbvIRCyjPBe6NpV
42,Supalonely,BENEE,181534,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
43,"Don't Start Now","Dua Lipa",178866,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
44,"Dance Monkey","Tones And I",175882,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
45,"Break My Heart","Dua Lipa",172069,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
46,Salt,"Ava Max",171986,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
47,Hangover,"Ude Af Kontrol",171272,https://open.spotify.com/track/0HRnmcWxw0Aeu4VtQXg42j
48,"King Kong","Josef Og Elias",170506,https://open.spotify.com/track/5tzylX0tiIuJVwOoNce0w2
