,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,L.U.V,Gilli,620497,https://open.spotify.com/track/1pfjtl0nQZlFJrjSMlai0F
2,ErruDumEllaHvad,ICEKIID,593815,https://open.spotify.com/track/5qaaQp6KvkEdB2q7SKQAcJ
3,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,513547,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
4,Avatar,NODE,473712,https://open.spotify.com/track/0V6en6bpNQI7GIzI9TK6cu
5,"Savage Love (Laxed - Siren Beat)","Jawsh 685",452436,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
6,Tilbage,KESI,424953,https://open.spotify.com/track/34mLaAt4HZzQOIplvRTURn
7,Bål,Tessa,400585,https://open.spotify.com/track/6wszpqvcWaarHjBKZuzFws
8,"Blinding Lights","The Weeknd",396778,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,"Rover (feat. DTG)",S1mba,355601,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
10,"Breaking Me",Topic,341850,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
11,"600 Heste",RH,326236,https://open.spotify.com/track/7EBGROSW7cVYXXBwl7kZbG
12,GoMore,"Larry 44",314749,https://open.spotify.com/track/7mMFdBkZR8cpbbp4F75yvq
13,"KIKI (feat. Gilli)",LOLO,311829,https://open.spotify.com/track/4Mh5wGoyhpzYECcGdmXTmc
14,"Ny Dag",Stepz,311003,https://open.spotify.com/track/066AN3APAXFBkaliW7I4DB
15,"Roses - Imanbek Remix","SAINt JHN",298328,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
16,SPORT,TopGunn,297337,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM
17,"Watermelon Sugar","Harry Styles",278537,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
18,Klovne,RH,267480,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
19,Brobizz,Gigis,259694,https://open.spotify.com/track/3xLgpixCKiEXyrBxpNJwga
20,"Sol Over København (feat. KESI)",Citybois,258366,https://open.spotify.com/track/0NnmpMt8M9mthgrfuerLfD
21,"LA DANZA",Branco,257953,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
22,"In Your Eyes","The Weeknd",245418,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
23,"Frisk På Det Hele",Jimilian,233980,https://open.spotify.com/track/1F4JbUpQIZjr4PVgYJU4j9
24,Gonzo,Suspekt,227042,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
25,"Party Girl",StaySolidRocky,220622,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
26,"Smid Tøjet",Jimilian,214344,https://open.spotify.com/track/0r4dJLEJYPVQhJDr5K0C0d
27,GOOBA,6ix9ine,214298,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
28,Secrets,Regard,211993,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
29,"Toosie Slide",Drake,208463,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
