,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"LA DANZA",Branco,578618,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
2,"Blinding Lights","The Weeknd",552683,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,"Vil Du Med…",Suspekt,402773,https://open.spotify.com/track/1krkFcdC579tuWC334yn1z
4,"Intentions (feat. Quavo)","Justin Bieber",355179,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
5,Gonzo,Suspekt,352594,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
6,Klovne,RH,351751,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
7,"The Box","Roddy Ricch",337359,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
8,"PUB G (feat. Branco & Larry 44)",LOLO,330905,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
9,"Roses - Imanbek Remix","SAINt JHN",316961,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,"Don't Start Now","Dua Lipa",284652,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
11,"Say So","Doja Cat",273330,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
12,"Pas Oublié (feat. Gilli)","Isaac Kasule",269990,https://open.spotify.com/track/6kyJjIpIjaoBaNx0VjxcwL
13,"Dance Monkey","Tones And I",261101,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,Corona,ADHD,258931,https://open.spotify.com/track/0frObKN0bCAAFmFMnIdOU1
15,Gutterne,Specktors,256494,https://open.spotify.com/track/4xTlom5tmNmAvQ1FCgtfyM
16,"Se Os",Citybois,247791,https://open.spotify.com/track/4qgyniHGf79c1UUiIOY368
17,Ben,Tessa,246756,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
18,"BACK TO BUSINESS",Branco,241107,https://open.spotify.com/track/39Bu3mloRh81RhFjGzhwIm
19,NAPOLI,Branco,238656,https://open.spotify.com/track/1HGSCFnYif6HrsLqZHE2Kn
20,"Someone You Loved","Lewis Capaldi",221238,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,"Winter Season (feat. Gilli)",Amina,220037,https://open.spotify.com/track/4XVZxIg3UjUTZxPlC5lmnj
22,"Godzilla (feat. Juice WRLD)",Eminem,217722,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
23,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,210946,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
24,"London Town",Branco,209371,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
25,"No Time To Die","Billie Eilish",208738,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
26,"death bed (coffee for your head)",Powfu,206831,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
27,Falling,"Trevor Daniel",205152,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
28,"Before You Go","Lewis Capaldi",201671,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
29,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,198613,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
30,"Adore You","Harry Styles",191449,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
31,"everything i wanted","Billie Eilish",191241,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
32,Circles,"Post Malone",190620,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
33,Salt,"Ava Max",186852,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
34,"Life Is Good (feat. Drake)",Future,185198,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
35,"Po Po",ZK,182885,https://open.spotify.com/track/3g1yNMutQGZUmcaVArVaf2
36,ROXANNE,"Arizona Zervas",180129,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
37,"Blueberry Faygo","Lil Mosey",174703,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
38,Burnout,Calby,174388,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
39,Supalonely,BENEE,174271,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
40,"VERDEN VENDER",Branco,174103,https://open.spotify.com/track/1k2HuMmXVnn9X4mGZIwIi4
41,YES,"BEN & TAN",172897,https://open.spotify.com/track/1nAvS4GbkxR7iISU5ZfLPf
42,"Lærte Hende Alt (feat. Lærke Emilie)",ATYPISK,166834,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM
43,"Sex On The Beach","Ude Af Kontrol",165065,https://open.spotify.com/track/3yx4uZSBSLgxaGhSqNw4RR
44,"After Hours","The Weeknd",162839,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
45,"Sunday Best",Surfaces,162103,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
46,"La Trompeta (feat. MellemFingaMuzik)",Camur,161682,https://open.spotify.com/track/0oHSxbawtdWBH9N8SqCjfq
47,"Vai Amor",Gilli,158267,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
48,"bad guy","Billie Eilish",155084,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
49,"You should be sad",Halsey,152899,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
50,"Some Say",Nea,149057,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
51,Memories,"Maroon 5",141371,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
52,"Lose Control",MEDUZA,132519,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
53,"Forever (feat. Post Malone & Clever)","Justin Bieber",132062,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
54,"Know Your Worth",Khalid,127266,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
55,"What If I Told You That I Love You","Ali Gatie",126730,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
56,Yummy,"Justin Bieber",126417,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
57,"Kender Ham Godt","Young Juu",124440,https://open.spotify.com/track/781hm63hoGyBWLz0eVGmSQ
58,"Super Mario",NODE,121744,https://open.spotify.com/track/1LsZymF4MDfVMuzLkySq5P
59,Ghost,Christopher,121317,https://open.spotify.com/track/1ySdKj9IbvIRCyjPBe6NpV
60,"That Way - Bonus Track","Lil Uzi Vert",120789,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
61,"Ride It",Regard,120056,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
62,"Slip Away",Phlake,119840,https://open.spotify.com/track/0yYp0TyV9km8QxzeVc75uy
63,"MON CHERI (feat. Amina)",Branco,119569,https://open.spotify.com/track/6k5MGDSLnIWG2YfpiYHWd9
64,Sjakalina,Tessa,115326,https://open.spotify.com/track/3LdRxPZLIouyXVFrJVLwg8
65,"Se Mig Falde (feat. Jamaika)",IBO,113092,https://open.spotify.com/track/2EKyxcc23vlZz479rG99qP
66,"Baby Pluto","Lil Uzi Vert",111694,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
67,Bruises,"Lewis Capaldi",110843,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
68,Nino,"Michael Williams",110624,https://open.spotify.com/track/219jZRY9zVkrunULslRLvD
69,"If the World Was Ending - feat. Julia Michaels","JP Saxe",109598,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
70,"Unz Unz",Specktors,108339,https://open.spotify.com/track/2vjKei86vFPZBodhXEqEmX
71,Balou,"Benny Jamz",105605,https://open.spotify.com/track/4r2M86IJ1stGAI55PRRib0
72,P2,"Lil Uzi Vert",105376,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
73,"Beautiful People (feat. Khalid)","Ed Sheeran",105253,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
74,Better,"Scarlet Pleasure",105024,https://open.spotify.com/track/0JzLoXiV09qfAWXrWpYp6M
75,"I Don't Care (with Justin Bieber)","Ed Sheeran",104592,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
76,"Need For Speed",Carmon,104100,https://open.spotify.com/track/4CmQJth2KNJG5Yf3ugd2i6
77,Physical,"Dua Lipa",103766,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
78,Señorita,"Shawn Mendes",103354,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
79,DANCE,CLMD,101613,https://open.spotify.com/track/6TfeXwJihJRuBW3mFpib6J
80,"Sinaloa Stil","Shooter Gang",101299,https://open.spotify.com/track/1tNuRv1Wcagp2f3FVcgknp
81,Lie,"Lukas Graham",101031,https://open.spotify.com/track/27NaNvlmvOHqTF0VPjuRSD
82,Paris,"Lord Siva",100851,https://open.spotify.com/track/1NgeW6kFhdqAvEKgKYhf1s
83,"Typisk Mig",Jimilian,100671,https://open.spotify.com/track/3dohd3QOpfp03fRuxiQil9
84,MURDA,Branco,99666,https://open.spotify.com/track/4qlDY0QJDcOQO8ynl73Eer
85,"Limbo (feat. Gilli)",NODE,98388,https://open.spotify.com/track/1zGwWmxXJHFes4dfkbnBUC
86,"Op A","Ude Af Kontrol",98095,https://open.spotify.com/track/79JoAfAjEcCtFYyeJCGwkK
87,"when the party's over","Billie Eilish",97287,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
88,"CITY OF ANGELS",24kGoldn,96902,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
89,"En Sang (feat. Gucci Mane)","Emil Stabil",95829,https://open.spotify.com/track/1hwYGaUz6V4odyt0u0QlKf
