,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blå Himmel (feat. Hans Philip)",KESI,779645,https://open.spotify.com/track/0qA2qykpcGdVl3tiiYum4g
2,Solhverv,"Lord Siva",666801,https://open.spotify.com/track/5x6ggDM895CRGHxS3dwRHz
3,ErruDumEllaHvad,ICEKIID,611083,https://open.spotify.com/track/5qaaQp6KvkEdB2q7SKQAcJ
4,"ALL MY LOVE (feat. ATYPISK)",LOLO,561194,https://open.spotify.com/track/0isi84Hc9HMJnK7j8OKueg
5,"Hygger Mig pt. 2 (feat. Gilli)",KESI,466459,https://open.spotify.com/track/0XS0OGv7EeH6cj0zCKZnkw
6,"Savage Love (Laxed - Siren Beat)","Jawsh 685",461651,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
7,Tilbage,KESI,460314,https://open.spotify.com/track/5ktsLwoQZ7JVliJMjEfBZj
8,"Snik Snak",Gilli,434065,https://open.spotify.com/track/1rExu7075LZrpDfT0Cg8Kk
9,"Baku (feat. ICEKIID)",KESI,377462,https://open.spotify.com/track/22uhcnBpHHimYci7vnj7KC
10,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,374995,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
11,"Breaking Me",Topic,373073,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
12,L.U.V,Gilli,354510,https://open.spotify.com/track/1pfjtl0nQZlFJrjSMlai0F
13,"Blinding Lights","The Weeknd",331302,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,"Snak Lidt Med Mig",KESI,328057,https://open.spotify.com/track/731FIGdc3VR6NKE3sFoCHH
15,"Ik Tænk (feat. Benny Jamz)",KESI,319352,https://open.spotify.com/track/6LMqDdiNABMdlhRVcSw1w2
16,Avatar,NODE,314446,https://open.spotify.com/track/0V6en6bpNQI7GIzI9TK6cu
17,"Watermelon Sugar","Harry Styles",297718,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
18,Niveauer,KESI,295064,https://open.spotify.com/track/6xkEJRa2R7Yiwy2ePuAQSe
19,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",264386,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
20,"Come & Go (with Marshmello)","Juice WRLD",263195,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
21,"my future","Billie Eilish",253816,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
22,"Fokus/Nætter (feat. Benny Jamz & Kimbo)",KESI,250579,https://open.spotify.com/track/2UPzp3LG2ls7Oyt4mtK6tJ
23,"Ballin' (feat. Kojo Funds)",Branco,250504,https://open.spotify.com/track/4AUqlf2xxTBTOjBaUiIejM
24,"Forretning (feat. Sivas)",KESI,247781,https://open.spotify.com/track/3fwaGeVBTRbUJAWfSt5c72
25,"Roses - Imanbek Remix","SAINt JHN",242304,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
26,"10 Timer",KESI,234784,https://open.spotify.com/track/6n85J4rLvEM6LkCSLtUN9A
27,"Rover (feat. DTG)",S1mba,218748,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
28,"Om Igen (feat. Noah Carter)",KESI,216133,https://open.spotify.com/track/6HqFixL73cCjyzdg0OXnno
29,"Head & Heart (feat. MNEK)","Joel Corry",214428,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
30,"LA DANZA",Branco,199658,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
31,"Livet Er Langt, Lykken Er Kort",KESI,199263,https://open.spotify.com/track/7CHblZAcr8NMfNlnmk28Wc
32,"In Your Eyes","The Weeknd",199129,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
33,"Got It On Me","Pop Smoke",196435,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
34,Secrets,Regard,196250,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
35,Klovne,RH,194819,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
36,"Mood Swings (feat. Lil Tjay)","Pop Smoke",194504,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
37,Gonzo,Suspekt,194353,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
38,Brobizz,Gigis,194037,https://open.spotify.com/track/3xLgpixCKiEXyrBxpNJwga
39,Burnout,Calby,193246,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
40,SPORT,TopGunn,191231,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM
41,"KIKI (feat. Gilli)",LOLO,187043,https://open.spotify.com/track/4Mh5wGoyhpzYECcGdmXTmc
42,"Wishing Well","Juice WRLD",180631,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
43,Dior,"Pop Smoke",179596,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
44,Svag,"Victor Leksell",176625,https://open.spotify.com/track/4SS4YfDAEQG0fZAe1xfgn3
45,"Sol Over København (feat. KESI)",Citybois,176140,https://open.spotify.com/track/0NnmpMt8M9mthgrfuerLfD
46,"600 Heste",RH,171874,https://open.spotify.com/track/7EBGROSW7cVYXXBwl7kZbG
47,"Fra Start",ATYPISK,169777,https://open.spotify.com/track/7MsZ2Q78TeMj8PZVopNayZ
48,"Leap Of Faith",Christopher,167050,https://open.spotify.com/track/571B8LxRZwmG1S1YNfGq4Q
49,"føler mig selv 100","andreas odbjerg",164436,https://open.spotify.com/track/7iuM7vnvSjX9qqcuFtij1T
50,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",160637,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
51,Ben,Tessa,148726,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
52,BO4L,KESI,147618,https://open.spotify.com/track/2vRk8Q0iUVHgCmQCjGcnNI
53,"Some Say - Felix Jaehn Remix",Nea,144816,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
54,"Smid Tøjet",Jimilian,141163,https://open.spotify.com/track/0r4dJLEJYPVQhJDr5K0C0d
55,cardigan,"Taylor Swift",139085,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
56,"Someone You Loved","Lewis Capaldi",138771,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
57,"Rewinder (feat. Lamin & NODE)",Jamaika,137979,https://open.spotify.com/track/5W6XySCHyqwP7XDU303Qkq
58,"PUB G (feat. Branco & Larry 44)",LOLO,136077,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
59,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",133938,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
60,"Dance Monkey","Tones And I",133312,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
61,"POPSTAR (feat. Drake)","DJ Khaled",131049,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
62,"Girl Like You",Clara,129446,https://open.spotify.com/track/1gG0pnDAT1QdpRFTQDT4y4
63,"Room For Love","Lord Siva",129249,https://open.spotify.com/track/4X1r74w09Ok0KgHSziwVWA
64,"Señorita (feat. Fouli)",Gobs,126563,https://open.spotify.com/track/4QHO0xwZVLSSX7Pi7HW1Wu
65,Nudes,Jada,125043,https://open.spotify.com/track/1un8VQdm76q7UsLtIGvR2B
66,Bål,Tessa,123045,https://open.spotify.com/track/6wszpqvcWaarHjBKZuzFws
67,"Before You Go","Lewis Capaldi",121103,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
68,"London Town",Branco,120849,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
69,"WHIP WHOP",I$WAAL,120536,https://open.spotify.com/track/1PxGMn63iT7sc4eS52c9UP
70,"Go Crazy","Chris Brown",120348,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
71,"exile (feat. Bon Iver)","Taylor Swift",119545,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
72,"Vai Amor",Gilli,118238,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
73,"Party Girl",StaySolidRocky,118039,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
74,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,117966,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
75,"Nobody's Lover (feat. Lord Siva)",Clara,115372,https://open.spotify.com/track/6DtelsNA9n8aIkKhBhHk4g
76,"Rain On Me (with Ariana Grande)","Lady Gaga",114930,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
77,"Slip Away",Phlake,114565,https://open.spotify.com/track/65OZiiwtjWVtS0WZdG2wmO
78,"Blueberry Faygo","Lil Mosey",113347,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
