,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Snik Snak",Gilli,744802,https://open.spotify.com/track/1rExu7075LZrpDfT0Cg8Kk
2,ErruDumEllaHvad,ICEKIID,688682,https://open.spotify.com/track/5qaaQp6KvkEdB2q7SKQAcJ
3,L.U.V,Gilli,570683,https://open.spotify.com/track/1pfjtl0nQZlFJrjSMlai0F
4,"Savage Love (Laxed - Siren Beat)","Jawsh 685",560059,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
5,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,501436,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
6,Avatar,NODE,459186,https://open.spotify.com/track/0V6en6bpNQI7GIzI9TK6cu
7,Tilbage,KESI,399423,https://open.spotify.com/track/34mLaAt4HZzQOIplvRTURn
8,"Blinding Lights","The Weeknd",396427,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,Brobizz,Gigis,366404,https://open.spotify.com/track/3xLgpixCKiEXyrBxpNJwga
10,"Breaking Me",Topic,363289,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
11,"Rover (feat. DTG)",S1mba,333093,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
12,"Roses - Imanbek Remix","SAINt JHN",299149,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
13,"Watermelon Sugar","Harry Styles",296012,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
14,"600 Heste",RH,295369,https://open.spotify.com/track/7EBGROSW7cVYXXBwl7kZbG
15,SPORT,TopGunn,279792,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM
16,Bål,Tessa,278903,https://open.spotify.com/track/6wszpqvcWaarHjBKZuzFws
17,"KIKI (feat. Gilli)",LOLO,264691,https://open.spotify.com/track/4Mh5wGoyhpzYECcGdmXTmc
18,"LA DANZA",Branco,254644,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
19,Klovne,RH,254277,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
20,"Sol Over København (feat. KESI)",Citybois,243768,https://open.spotify.com/track/0NnmpMt8M9mthgrfuerLfD
21,"In Your Eyes","The Weeknd",240533,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
22,Gonzo,Suspekt,225614,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
23,Secrets,Regard,215280,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
24,"Ny Dag",Stepz,212167,https://open.spotify.com/track/066AN3APAXFBkaliW7I4DB
25,GoMore,"Larry 44",212015,https://open.spotify.com/track/7mMFdBkZR8cpbbp4F75yvq
26,"Party Girl",StaySolidRocky,207762,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
27,"Smid Tøjet",Jimilian,205025,https://open.spotify.com/track/0r4dJLEJYPVQhJDr5K0C0d
28,Ben,Tessa,201833,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
29,"Toosie Slide",Drake,194465,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
30,Burnout,Calby,187442,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
31,GOOBA,6ix9ine,186691,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
32,"Corolla (feat. Branco)",Sinds,184800,https://open.spotify.com/track/5VDso6McCTCa6mgO5CBBsO
33,"WHIP WHOP",I$WAAL,182592,https://open.spotify.com/track/1PxGMn63iT7sc4eS52c9UP
34,"Dance Monkey","Tones And I",181650,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
35,"Blueberry Faygo","Lil Mosey",179364,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
36,"Tættere End Vi Tror",P3,173010,https://open.spotify.com/track/4j5QQ3eZNpmxT4inyVEaAU
37,"ily (i love you baby) (feat. Emilee)","Surf Mesa",171734,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
38,"Frisk På Det Hele",Jimilian,169920,https://open.spotify.com/track/1F4JbUpQIZjr4PVgYJU4j9
39,"Leap Of Faith",Christopher,168647,https://open.spotify.com/track/571B8LxRZwmG1S1YNfGq4Q
40,"Rain On Me (with Ariana Grande)","Lady Gaga",165890,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
41,"Intentions (feat. Quavo)","Justin Bieber",165541,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
42,"Glo På Mig",Tessa,163241,https://open.spotify.com/track/0u2HxcwML2msMuuKUvpck8
43,"NO SKRUB$",TopGunn,159928,https://open.spotify.com/track/6iV6FxCwplHr8IzwdnX5xX
44,"Someone You Loved","Lewis Capaldi",158251,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
45,Nudes,Jada,157416,https://open.spotify.com/track/1un8VQdm76q7UsLtIGvR2B
46,"Vai Amor",Gilli,155817,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
47,Gelato,"Benny Jamz",154227,https://open.spotify.com/track/3dradzYJqQ88RJEuQhXt5d
48,"Break My Heart","Dua Lipa",151270,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
49,"Så'n der",Tessa,147320,https://open.spotify.com/track/7fuPKXieOyX6mkFHkfcIJd
50,SOS,"Scarlet Pleasure",143999,https://open.spotify.com/track/6ST1zKFmiLMxzvDkOquGgy
51,"Some Say - Felix Jaehn Remix",Nea,134882,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
52,"Before You Go","Lewis Capaldi",133252,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
