,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",613889,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"LA DANZA",Branco,421035,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
3,"In Your Eyes","The Weeknd",371203,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
4,"Så'n der",Tessa,366820,https://open.spotify.com/track/7fuPKXieOyX6mkFHkfcIJd
5,"Roses - Imanbek Remix","SAINt JHN",358899,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,Klovne,RH,335422,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
7,"The Box","Roddy Ricch",323235,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
8,"Intentions (feat. Quavo)","Justin Bieber",314540,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
9,"death bed (coffee for your head)",Powfu,307435,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
10,"Don't Start Now","Dua Lipa",282262,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
11,"Say So","Doja Cat",279938,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
12,Gonzo,Suspekt,271808,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
13,"PUB G (feat. Branco & Larry 44)",LOLO,269174,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
14,"Vil Du Med…",Suspekt,266460,https://open.spotify.com/track/1krkFcdC579tuWC334yn1z
15,"Dance Monkey","Tones And I",256220,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,Supalonely,BENEE,250551,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
17,"Sunday Best",Surfaces,245149,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
18,"After Hours","The Weeknd",243431,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
19,Scars,"Lukas Graham",239343,https://open.spotify.com/track/0HCjXEQF533z8Z9LuX28cL
20,Nudes,Jada,225208,https://open.spotify.com/track/1un8VQdm76q7UsLtIGvR2B
21,"Someone You Loved","Lewis Capaldi",224775,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,"Godzilla (feat. Juice WRLD)",Eminem,213755,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
23,Amsterdam,Fouli,213018,https://open.spotify.com/track/6LDCpaEEwymjW8Fj3l896N
