,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ErruDumEllaHvad,ICEKIID,608900,https://open.spotify.com/track/5qaaQp6KvkEdB2q7SKQAcJ
2,"Snik Snak",Gilli,534554,https://open.spotify.com/track/1rExu7075LZrpDfT0Cg8Kk
3,"Savage Love (Laxed - Siren Beat)","Jawsh 685",497033,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
4,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,432346,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
5,L.U.V,Gilli,420978,https://open.spotify.com/track/1pfjtl0nQZlFJrjSMlai0F
6,"Ballin' (feat. Kojo Funds)",Branco,399713,https://open.spotify.com/track/4AUqlf2xxTBTOjBaUiIejM
7,"Breaking Me",Topic,385753,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
8,Avatar,NODE,378329,https://open.spotify.com/track/0V6en6bpNQI7GIzI9TK6cu
9,"Blinding Lights","The Weeknd",352039,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,Tilbage,KESI,323517,https://open.spotify.com/track/34mLaAt4HZzQOIplvRTURn
11,"Watermelon Sugar","Harry Styles",300421,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,Solhverv,"Lord Siva",282598,https://open.spotify.com/track/5x6ggDM895CRGHxS3dwRHz
13,"Come & Go (with Marshmello)","Juice WRLD",281271,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
14,Brobizz,Gigis,281046,https://open.spotify.com/track/3xLgpixCKiEXyrBxpNJwga
15,"Rover (feat. DTG)",S1mba,264272,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
16,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",258723,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
17,"Roses - Imanbek Remix","SAINt JHN",255501,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
18,"Rewinder (feat. Lamin & NODE)",Jamaika,247997,https://open.spotify.com/track/5W6XySCHyqwP7XDU303Qkq
19,"600 Heste",RH,231923,https://open.spotify.com/track/7EBGROSW7cVYXXBwl7kZbG
20,"Fra Start",ATYPISK,225090,https://open.spotify.com/track/7MsZ2Q78TeMj8PZVopNayZ
21,SPORT,TopGunn,216841,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM
22,"Life's A Mess (feat. Halsey)","Juice WRLD",214912,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
23,Klovne,RH,214501,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
24,"In Your Eyes","The Weeknd",214292,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
25,"LA DANZA",Branco,212539,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
26,Secrets,Regard,204614,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
27,Gonzo,Suspekt,196310,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
28,Burnout,Calby,195782,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
29,"Sol Over København (feat. KESI)",Citybois,195498,https://open.spotify.com/track/0NnmpMt8M9mthgrfuerLfD
30,"Got It On Me","Pop Smoke",192310,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
31,"Wishing Well","Juice WRLD",190503,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
32,"Get Money (Motivation Session)",Branco,189610,https://open.spotify.com/track/39RRlNfnL18TNJ2i7XYxhH
33,"Party Girl (Remix)",StaySolidRocky,185735,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
34,"KIKI (feat. Gilli)",LOLO,183067,https://open.spotify.com/track/4Mh5wGoyhpzYECcGdmXTmc
35,Dior,"Pop Smoke",177496,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
36,"Leap Of Faith",Christopher,174250,https://open.spotify.com/track/571B8LxRZwmG1S1YNfGq4Q
37,Bål,Tessa,173972,https://open.spotify.com/track/6wszpqvcWaarHjBKZuzFws
38,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",169184,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
39,Ben,Tessa,168720,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
40,Svag,"Victor Leksell",165580,https://open.spotify.com/track/4SS4YfDAEQG0fZAe1xfgn3
41,Conversations,"Juice WRLD",162580,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P
42,"Someone You Loved","Lewis Capaldi",159093,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
43,"Tættere End Vi Tror",P3,156627,https://open.spotify.com/track/4j5QQ3eZNpmxT4inyVEaAU
44,"Blueberry Faygo","Lil Mosey",156442,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
45,"WHIP WHOP",I$WAAL,155717,https://open.spotify.com/track/1PxGMn63iT7sc4eS52c9UP
46,"Smid Tøjet",Jimilian,154876,https://open.spotify.com/track/0r4dJLEJYPVQhJDr5K0C0d
47,"Toosie Slide",Drake,154468,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
48,"Dance Monkey","Tones And I",153521,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
49,"Before You Go","Lewis Capaldi",147528,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
50,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",144287,https://open.spotify.com/track/66FgjA5ZQJJuypFG1bc8se
51,"Señorita (feat. Fouli)",Gobs,143657,https://open.spotify.com/track/4QHO0xwZVLSSX7Pi7HW1Wu
52,"Rain On Me (with Ariana Grande)","Lady Gaga",140825,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
53,"ily (i love you baby) (feat. Emilee)","Surf Mesa",132575,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
54,"Some Say - Felix Jaehn Remix",Nea,131815,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
55,Nudes,Jada,129614,https://open.spotify.com/track/1un8VQdm76q7UsLtIGvR2B
56,"Corolla (feat. Branco)",Sinds,128565,https://open.spotify.com/track/5VDso6McCTCa6mgO5CBBsO
57,"Intentions (feat. Quavo)","Justin Bieber",126776,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
58,"Stuck with U (with Justin Bieber)","Ariana Grande",126241,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
59,"London Town",Branco,125077,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
60,GoMore,"Larry 44",120754,https://open.spotify.com/track/7mMFdBkZR8cpbbp4F75yvq
61,"Room For Love","Lord Siva",120561,https://open.spotify.com/track/4X1r74w09Ok0KgHSziwVWA
62,Righteous,"Juice WRLD",120350,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
63,"føler mig selv 100","andreas odbjerg",120101,https://open.spotify.com/track/7iuM7vnvSjX9qqcuFtij1T
64,"TKN (feat. Travis Scott)",ROSALÍA,118687,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
65,"Vai Amor",Gilli,118487,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
66,"Break My Heart","Dua Lipa",117473,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
67,"Ny Dag",Stepz,116608,https://open.spotify.com/track/066AN3APAXFBkaliW7I4DB
68,GOOBA,6ix9ine,115792,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
69,Gutterne,Specktors,113431,https://open.spotify.com/track/4fPd5WKY0Qf9eeg0pHowA1
70,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,112171,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
71,Ghost,Christopher,111248,https://open.spotify.com/track/1ySdKj9IbvIRCyjPBe6NpV
72,"Slip Away",Phlake,111200,https://open.spotify.com/track/65OZiiwtjWVtS0WZdG2wmO
73,"Blitz, Baby",Jung,111109,https://open.spotify.com/track/2dSK7HZu6mxsb0Lx82CxeY
74,"NO SKRUB$",TopGunn,108667,https://open.spotify.com/track/6iV6FxCwplHr8IzwdnX5xX
75,"Så'n der",Tessa,107931,https://open.spotify.com/track/7fuPKXieOyX6mkFHkfcIJd
76,"Vil Du Med…",Suspekt,107895,https://open.spotify.com/track/1krkFcdC579tuWC334yn1z
77,"Nobody's Lover (feat. Lord Siva)",Clara,107264,https://open.spotify.com/track/6DtelsNA9n8aIkKhBhHk4g
78,Supalonely,BENEE,107216,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
79,SOS,"Scarlet Pleasure",107136,https://open.spotify.com/track/6ST1zKFmiLMxzvDkOquGgy
80,"Zum Zum - Balken Remix",Balken,105751,https://open.spotify.com/track/3D5UFWr3DjAxVJIlZ7RlXh
81,"death bed (coffee for your head)",Powfu,105065,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
82,"Bare Dans",KIDD,104226,https://open.spotify.com/track/64NE79ro3Tys4qbek51rBP
83,"Genie In A Bottle",Faustix,103079,https://open.spotify.com/track/3xTj27LibA0NDDvHNiFPpG
84,"Rum Bum Bum - Hedegaard Remix",NAVID,102593,https://open.spotify.com/track/6vZ9Fgoy6lDqCbYNI67Ewt
85,ZERO,I$WAAL,102267,https://open.spotify.com/track/63hCE36av048sJCsxi2l90
86,"Be Kind (with Halsey)",Marshmello,102055,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
87,"Frisk På Det Hele",Jimilian,99183,https://open.spotify.com/track/1F4JbUpQIZjr4PVgYJU4j9
88,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",99172,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
89,Salt,"Ava Max",98648,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
90,"Min Bror (Josef Og Elias X ICEKIID)","Josef Og Elias",97884,https://open.spotify.com/track/7ucXd8IbW11iUAOqxmZo7k
91,"Don't Start Now","Dua Lipa",97801,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
92,"PUB G (feat. Branco & Larry 44)",LOLO,96781,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
93,Titanic,"Juice WRLD",95304,https://open.spotify.com/track/1QoG0Yqz1onMsdbOibZVke
94,"Glo På Mig",Tessa,95220,https://open.spotify.com/track/0u2HxcwML2msMuuKUvpck8
95,Gelato,"Benny Jamz",93567,https://open.spotify.com/track/3dradzYJqQ88RJEuQhXt5d
96,Gangstas,"Pop Smoke",92080,https://open.spotify.com/track/1hg3RlqFZXJb5YgRoK9qmF
97,"Unz Unz",Specktors,91597,https://open.spotify.com/track/593Jq3pm0OleC7Mz6STFFk
