,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,625634,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,Tilbage,KESI,564451,https://open.spotify.com/track/34mLaAt4HZzQOIplvRTURn
3,Avatar,NODE,553716,https://open.spotify.com/track/0V6en6bpNQI7GIzI9TK6cu
4,"KIKI (feat. Gilli)",LOLO,516353,https://open.spotify.com/track/4Mh5wGoyhpzYECcGdmXTmc
5,"Blinding Lights","The Weeknd",446420,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,SPORT,TopGunn,396645,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM
7,"Sol Over København (feat. KESI)",Citybois,373307,https://open.spotify.com/track/0NnmpMt8M9mthgrfuerLfD
8,"Solskin 2.0",ZK,359068,https://open.spotify.com/track/5GtvOTvTnt8x5nMM5qGfF8
9,"Rover (feat. DTG)",S1mba,353894,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
10,"Roses - Imanbek Remix","SAINt JHN",334052,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
11,Klovne,RH,324079,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
12,"Tættere End Vi Tror",P3,295779,https://open.spotify.com/track/4j5QQ3eZNpmxT4inyVEaAU
13,"Toosie Slide",Drake,295673,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
14,GOOBA,6ix9ine,292449,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
15,"LA DANZA",Branco,285707,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
16,"Cardi B","Benny Jamz",281863,https://open.spotify.com/track/3SvowMAlg8lSY2qkbksczg
17,"WHIP WHOP",I$WAAL,279438,https://open.spotify.com/track/1PxGMn63iT7sc4eS52c9UP
18,"Rain On Me (with Ariana Grande)","Lady Gaga",274759,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
19,Nudes,Jada,263474,https://open.spotify.com/track/1un8VQdm76q7UsLtIGvR2B
20,"Glo På Mig",Tessa,259009,https://open.spotify.com/track/0u2HxcwML2msMuuKUvpck8
21,"In Your Eyes","The Weeknd",250996,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
22,Gelato,"Benny Jamz",241521,https://open.spotify.com/track/3dradzYJqQ88RJEuQhXt5d
23,"Breaking Me",Topic,231190,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
24,Gonzo,Suspekt,225858,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
25,"Blueberry Faygo","Lil Mosey",221656,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
26,"Party Girl",StaySolidRocky,218438,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
27,"Smid Tøjet",Jimilian,217247,https://open.spotify.com/track/0r4dJLEJYPVQhJDr5K0C0d
28,"NO SKRUB$",TopGunn,217152,https://open.spotify.com/track/6iV6FxCwplHr8IzwdnX5xX
29,"Min Bror (Josef Og Elias X ICEKIID)","Josef Og Elias",217052,https://open.spotify.com/track/7ucXd8IbW11iUAOqxmZo7k
30,"ily (i love you baby) (feat. Emilee)","Surf Mesa",216967,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
31,"Blitz, Baby",Jung,214936,https://open.spotify.com/track/2dSK7HZu6mxsb0Lx82CxeY
32,"Stuck with U (with Justin Bieber)","Ariana Grande",212030,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
33,Burnout,Calby,211860,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
34,"THE SCOTTS","THE SCOTTS",209662,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
35,Ben,Tessa,208496,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
36,Modvind,Carmon,206021,https://open.spotify.com/track/0DjoEWNm4HNqu0JmvlIPcI
37,"Intentions (feat. Quavo)","Justin Bieber",202191,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
38,"Så'n der",Tessa,196330,https://open.spotify.com/track/7fuPKXieOyX6mkFHkfcIJd
39,"death bed (coffee for your head)",Powfu,190026,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
40,"PUB G (feat. Branco & Larry 44)",LOLO,189708,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
41,Supalonely,BENEE,189690,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
42,"Break My Heart","Dua Lipa",185728,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
43,"Dance Monkey","Tones And I",184509,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
44,"Before You Go","Lewis Capaldi",183407,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
45,"Leap Of Faith",Christopher,179693,https://open.spotify.com/track/571B8LxRZwmG1S1YNfGq4Q
46,"TKN (feat. Travis Scott)",ROSALÍA,178632,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
47,"Someone You Loved","Lewis Capaldi",177535,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
48,"Don't Start Now","Dua Lipa",173253,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
49,"Watermelon Sugar","Harry Styles",164886,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
50,Salt,"Ava Max",162385,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
51,Hangover,"Ude Af Kontrol",152303,https://open.spotify.com/track/0HRnmcWxw0Aeu4VtQXg42j
52,Sandheden,Jimilian,152225,https://open.spotify.com/track/4mWw2Yt7o14GkkIdTrrxuc
53,Ghost,Christopher,145440,https://open.spotify.com/track/1ySdKj9IbvIRCyjPBe6NpV
54,"Kærlighed Gør Blind",Citybois,144695,https://open.spotify.com/track/1THxYDFV4EK59BzgUs5Yg0
55,"Room For Love","Lord Siva",138472,https://open.spotify.com/track/4X1r74w09Ok0KgHSziwVWA
56,"WHATS POPPIN","Jack Harlow",138321,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
57,"Slip Away",Phlake,137841,https://open.spotify.com/track/65OZiiwtjWVtS0WZdG2wmO
58,"Vai Amor",Gilli,136571,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
59,"Nobody's Lover (feat. Lord Siva)",Clara,135374,https://open.spotify.com/track/6DtelsNA9n8aIkKhBhHk4g
60,"London Town",Branco,134475,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
61,"The Box","Roddy Ricch",132419,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
62,"Say So","Doja Cat",130724,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
63,"Vil Du Med…",Suspekt,130348,https://open.spotify.com/track/1krkFcdC579tuWC334yn1z
64,Gutterne,Specktors,130250,https://open.spotify.com/track/4fPd5WKY0Qf9eeg0pHowA1
65,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,129152,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
66,Circles,"Post Malone",126489,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
67,"Sour Candy (with BLACKPINK)","Lady Gaga",123388,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
68,"føler mig selv 100","andreas odbjerg",123179,https://open.spotify.com/track/7iuM7vnvSjX9qqcuFtij1T
69,"Genie In A Bottle",Faustix,117812,https://open.spotify.com/track/3xTj27LibA0NDDvHNiFPpG
70,"Pas Oublié (feat. Gilli)","Isaac Kasule",117261,https://open.spotify.com/track/6kyJjIpIjaoBaNx0VjxcwL
71,"Be Kind (with Halsey)",Marshmello,115753,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
72,Fugtig,"Ude Af Kontrol",114876,https://open.spotify.com/track/3k6n8FdhntF9nzQpVn0OFs
73,Savnet,Gobs,113509,https://open.spotify.com/track/0TA8nQMsUqgMBK8W9jtJR9
74,"King Kong","Josef Og Elias",111331,https://open.spotify.com/track/5tzylX0tiIuJVwOoNce0w2
75,"Ride It",Regard,111165,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
76,"Bare Dans",KIDD,110743,https://open.spotify.com/track/64NE79ro3Tys4qbek51rBP
77,"Tell Me U Luv Me (with Trippie Redd)","Juice WRLD",110592,https://open.spotify.com/track/4CNcRgjGw1v9VQaTaytdnD
78,"Jeg Skal Nok Vente",Jung,109957,https://open.spotify.com/track/2M996tCDK8dmip9HNKk6Gs
