,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",613279,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"PUB G (feat. Branco & Larry 44)",LOLO,555471,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
3,"Winter Season (feat. Gilli)",Amina,547279,https://open.spotify.com/track/4XVZxIg3UjUTZxPlC5lmnj
4,"Godzilla (feat. Juice WRLD)",Eminem,509205,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
5,"The Box","Roddy Ricch",458259,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"La Trompeta (feat. MellemFingaMuzik)",Camur,375325,https://open.spotify.com/track/0oHSxbawtdWBH9N8SqCjfq
7,"Roses - Imanbek Remix","SAINt JHN",370101,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
8,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,362614,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
9,"Life Is Good (feat. Drake)",Future,352598,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
10,"Dance Monkey","Tones And I",350350,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
11,"everything i wanted","Billie Eilish",339555,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,Ben,Tessa,304010,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
13,"London Town",Branco,298150,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
14,"Limbo (feat. Gilli)",NODE,297974,https://open.spotify.com/track/1zGwWmxXJHFes4dfkbnBUC
15,"Don't Start Now","Dua Lipa",295047,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
16,Yummy,"Justin Bieber",291474,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
17,Falling,"Trevor Daniel",286599,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
18,ROXANNE,"Arizona Zervas",275750,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
19,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,275423,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
20,"BACK TO BUSINESS",Branco,274332,https://open.spotify.com/track/0mcstzq1GesAwEsR3JrW2B
21,"bad guy","Billie Eilish",250507,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
22,"Lærte Hende Alt (feat. Lærke Emilie)",ATYPISK,244570,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM
23,"Someone You Loved","Lewis Capaldi",244180,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
24,"VERDEN VENDER",Branco,235807,https://open.spotify.com/track/0qgqH6VqlkIXj45e5tTFCH
25,Circles,"Post Malone",233575,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
26,"What If I Told You That I Love You","Ali Gatie",230673,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
27,Sjakalina,Tessa,230670,https://open.spotify.com/track/3LdRxPZLIouyXVFrJVLwg8
28,"Weekend Hver Dag","Josef Og Elias",221234,https://open.spotify.com/track/7FreZPHSPVyZKBDYtFXTJf
29,Memories,"Maroon 5",216295,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
30,"Before You Go","Lewis Capaldi",215705,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
31,"Ride It",Regard,197701,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
32,"You should be sad",Halsey,194344,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
33,"Adore You","Harry Styles",193369,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
34,"Vai Amor",Gilli,189448,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
35,"Ayy Macarena",Tyga,185129,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
36,Flytilstand,"Benny Jamz",182101,https://open.spotify.com/track/6q90mFphEXrrBfIXAbDLY3
37,Lie,"Lukas Graham",179000,https://open.spotify.com/track/27NaNvlmvOHqTF0VPjuRSD
38,"Idiot (feat. Karl William)",Artigeardit,178227,https://open.spotify.com/track/54kKPQZVTgF4tV9u6h0Tr4
39,Balou,"Benny Jamz",174948,https://open.spotify.com/track/4r2M86IJ1stGAI55PRRib0
40,"Det Kom Som Et Chok",Citybois,172557,https://open.spotify.com/track/6SXQfhSHLG3SoqAUZ3g3Pt
41,"Lose Control",MEDUZA,171296,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
42,"Super Mario",NODE,170845,https://open.spotify.com/track/1LsZymF4MDfVMuzLkySq5P
43,Melodisk,ICEKIID,170037,https://open.spotify.com/track/03LR4iYCBfdzXKtwL6CUyy
44,"Sektion (feat. Branco & Gilli)","Benny Jamz",168560,https://open.spotify.com/track/4vdIHpg2MlGO6WnHZE6oeW
45,"If the World Was Ending - feat. Julia Michaels","JP Saxe",167162,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
46,"Lose You To Love Me","Selena Gomez",163234,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
47,"My Oh My (feat. DaBaby)","Camila Cabello",159075,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
48,Suicidal,"YNW Melly",157150,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
49,Brandvarm,"Josef Og Elias",154931,https://open.spotify.com/track/5B6QJikgE2fsGpR1BBkapc
50,"Sinaloa Stil","Shooter Gang",154156,https://open.spotify.com/track/1tNuRv1Wcagp2f3FVcgknp
51,"when the party's over","Billie Eilish",152597,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
52,Señorita,"Shawn Mendes",146144,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
53,Salt,"Ava Max",141711,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
54,"What A Man Gotta Do","Jonas Brothers",139571,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
55,"Bonnie & Clyde (Carmon X Alrima)",Carmon,137263,https://open.spotify.com/track/21PXwOjWFh5XlwTia05t3p
56,Gonzo,Suspekt,135929,https://open.spotify.com/track/6bh20cEbXMNJ5JPUvbGSYq
57,"Ingenting At Sige (feat. NODE)",Gilli,133956,https://open.spotify.com/track/6WZHm21UPkvcmh5VLjhFZg
58,"Those Kinda Nights (feat. Ed Sheeran)",Eminem,133183,https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH
59,"Som Fluer","The Minds Of 99",132750,https://open.spotify.com/track/4diMl3ee8zco6asVZNKjti
60,"Break My Stride","Matthew Wilder",131998,https://open.spotify.com/track/1mCsF9Tw4AkIZOjvZbZZdT
61,"Beautiful People (feat. Khalid)","Ed Sheeran",130539,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
62,"Jaloux (feat. ATYPISK)",Simsey,130373,https://open.spotify.com/track/6VW9gXYrQiTaWiR2Svql03
63,Ghost,Christopher,129006,https://open.spotify.com/track/1ySdKj9IbvIRCyjPBe6NpV
64,"I Don't Care (with Justin Bieber)","Ed Sheeran",126518,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
65,Bruises,"Lewis Capaldi",126161,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
66,July,"Noah Cyrus",125499,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
67,"Dobbelt (feat. Dayzon)",Jamaika,121487,https://open.spotify.com/track/332HLjESTywYrDN5is9mdT
68,"Good News","Mac Miller",119491,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
69,Trampertøsen,"Jesu Brødre",117786,https://open.spotify.com/track/6zWFU7AgnwajRsTw6qruYW
70,"Endnu (feat. Gilli, Benny Jamz & Branco)",Stepz,117268,https://open.spotify.com/track/1AwE3VLo6qlJ2xi1oS3BwE
71,Paris,"Lord Siva",115615,https://open.spotify.com/track/1NgeW6kFhdqAvEKgKYhf1s
72,"HIGHEST IN THE ROOM","Travis Scott",115277,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
73,"hot girl bummer",blackbear,115253,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
74,Rare,"Selena Gomez",115101,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
75,Shallow,"Lady Gaga",114509,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
76,"Watermelon Sugar","Harry Styles",113173,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
77,"En Sang (feat. Gucci Mane)","Emil Stabil",113077,https://open.spotify.com/track/1hwYGaUz6V4odyt0u0QlKf
78,"Forever Yours - Avicii Tribute",Kygo,112679,https://open.spotify.com/track/3o1CUVeHIid49sabk6A6Nf
79,"Plastic (feat. Benjamin Hav)",Pind,112215,https://open.spotify.com/track/758P0zO2goHiN3NA5OW1Qe
80,"No Idea","Don Toliver",111896,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
81,"Culo (feat. Branco)",Gilli,111283,https://open.spotify.com/track/49vQclrdXkZXMJnD0VN3qZ
82,"lovely (with Khalid)","Billie Eilish",111200,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
83,Eleven,Khalid,111117,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
84,"Say So","Doja Cat",110854,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
85,"BDK (feat. Gilli)",KESI,110752,https://open.spotify.com/track/6ZvA8Difc7oFBxfZXJ6JuT
86,"10,000 Hours (with Justin Bieber)","Dan + Shay",105712,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
87,"Unz Unz",Specktors,105526,https://open.spotify.com/track/2vjKei86vFPZBodhXEqEmX
88,"Love Someone","Lukas Graham",105407,https://open.spotify.com/track/0OCRwXbQRdOZ1OtB4Imsp1
89,"Fuck Af (feat. Milbo)","Fie Laursen",104823,https://open.spotify.com/track/7iXrDMiAinSZpD1M6zyBKY
90,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",104217,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
91,SUGAR,BROCKHAMPTON,103879,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
92,DANCE,CLMD,103552,https://open.spotify.com/track/6TfeXwJihJRuBW3mFpib6J
93,"Ballin' (with Roddy Ricch)",Mustard,101557,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
94,"Helt Stabil",Fouli,101165,https://open.spotify.com/track/74UxMl2RwVslYvWd9cGmlL
95,"Be Alright","Dean Lewis",100812,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
96,"Higher Love",Kygo,100510,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
97,Okay,Tessa,99265,https://open.spotify.com/track/4HtQ1OKauyaDx1jIos6Zmv
98,"Some Say",Nea,98264,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
99,"All In",Branco,96005,https://open.spotify.com/track/59iEMlCecSDtur0rlSOmvX
100,"Nik & Jay (feat. Benjamin Hav)",TopGunn,95872,https://open.spotify.com/track/151GbWJcajt35sN4T309vF
101,"Piece Of Your Heart",MEDUZA,94244,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
102,"Finde Tilbage",Citybois,93506,https://open.spotify.com/track/2PULF2IhwRZg7Qpx3x4lHg
103,"Thank Me Later",Clara,93466,https://open.spotify.com/track/1Jv2OryuzzPowBFHIM3uH8
104,"Never Seen the Rain","Tones And I",92629,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
105,"Lucid Dreams","Juice WRLD",92426,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
106,BOP,DaBaby,90952,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
107,"Hurtige Hænder - Acoustic Version - Moyo Live P3","The Minds Of 99",90790,https://open.spotify.com/track/3D0VPp6nCN9dsyUjFv2BvP
108,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",90443,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
109,"Post Malone (feat. RANI)","Sam Feldt",90378,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
110,Darkness,Eminem,88063,https://open.spotify.com/track/5SiZJoLXp3WOl3J4C8IK0d
111,Burnout,Calby,86446,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
112,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",86310,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
113,"bury a friend","Billie Eilish",86287,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
114,"Sweet but Psycho","Ava Max",85587,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
115,"Alle Skuffer Over Tid - Single Edit","The Minds Of 99",85057,https://open.spotify.com/track/6a2itcAnQzfViAiAly2Eg8
116,Heartless,"The Weeknd",84697,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
117,"Efter Mig",Jimilian,84634,https://open.spotify.com/track/5Mbtof5Olmn8JDvm6PI1Az
118,"ocean eyes","Billie Eilish",84240,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
119,"Alt jeg gør","Fie Laursen",84239,https://open.spotify.com/track/7KFDGn6qxLeEJZczDvNBKy
120,"Monte Carlo",Jimilian,83930,https://open.spotify.com/track/4qTzlVKdemz4egoePc5GsV
121,"Shopping (feat. Kesi & Stepz)","Benny Jamz",82853,https://open.spotify.com/track/7IlYDWKUtjuQ1xPf6KAzWc
122,"Sidechick (Carmon X Jamaika)",Carmon,80744,https://open.spotify.com/track/7M9YbTUwskBoI42Vj4Rkqq
123,"How Do You Sleep?","Sam Smith",80267,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
124,"Ka Du Ik",Omar,80105,https://open.spotify.com/track/4jm5AHENFhFjz5m9kXgwQ9
125,"Sig Mig",Citybois,79697,https://open.spotify.com/track/2kDVTfMiMP8ignU2hU2yCB
126,STANDARD,I$WAAL,79472,https://open.spotify.com/track/4Jh3p0TydgTJZ444pPhVvd
127,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",78987,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
128,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem,78861,https://open.spotify.com/track/0GQ5bFTVFFKpwNPc7KwQnB
129,"All Around The World (La La La)",R3HAB,78352,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
130,"Goodbyes (Feat. Young Thug)","Post Malone",78190,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
131,"Vossi Bop",Stormzy,77758,https://open.spotify.com/track/5DXKtoZLm31msT7tNGNHLG
132,Balenci,"Larry 44",77600,https://open.spotify.com/track/3oP9C6MAm8i4SvYB37GDto
133,JUNGLE,MellemFingaMuzik,77438,https://open.spotify.com/track/0VWTSWZVask2dSMShSphvM
134,"Snakker For Meget",Tessa,77260,https://open.spotify.com/track/5WvK9QLls6WikBoh5RrroV
135,"Holdet (feat. NODE)",Jamaika,76236,https://open.spotify.com/track/53Z8vzEI2bbqpsSZ8dFSOt
