,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,559387,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,Avatar,NODE,491508,https://open.spotify.com/track/0V6en6bpNQI7GIzI9TK6cu
3,Tilbage,KESI,461572,https://open.spotify.com/track/34mLaAt4HZzQOIplvRTURn
4,"KIKI (feat. Gilli)",LOLO,400402,https://open.spotify.com/track/4Mh5wGoyhpzYECcGdmXTmc
5,"Blinding Lights","The Weeknd",395267,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"Rover (feat. DTG)",S1mba,359496,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
7,SPORT,TopGunn,333787,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM
8,"Sol Over København (feat. KESI)",Citybois,300278,https://open.spotify.com/track/0NnmpMt8M9mthgrfuerLfD
9,"Roses - Imanbek Remix","SAINt JHN",300273,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,Klovne,RH,293612,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
11,"Tættere End Vi Tror",P3,266384,https://open.spotify.com/track/4j5QQ3eZNpmxT4inyVEaAU
12,"LA DANZA",Branco,253784,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
13,GOOBA,6ix9ine,248466,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
14,"Toosie Slide",Drake,244333,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
15,"Breaking Me",Topic,240848,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
16,"In Your Eyes","The Weeknd",240433,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
17,"WHIP WHOP",I$WAAL,235676,https://open.spotify.com/track/1PxGMn63iT7sc4eS52c9UP
18,"Party Girl",StaySolidRocky,232489,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
19,Nudes,Jada,229450,https://open.spotify.com/track/1un8VQdm76q7UsLtIGvR2B
20,"Glo På Mig",Tessa,224599,https://open.spotify.com/track/0u2HxcwML2msMuuKUvpck8
21,"Rain On Me (with Ariana Grande)","Lady Gaga",209676,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
22,Loaded,Fouli,208828,https://open.spotify.com/track/6672OFcTcx5Kupb0lFzvbf
23,"Solskin 2.0",ZK,205382,https://open.spotify.com/track/5GtvOTvTnt8x5nMM5qGfF8
24,Modvind,Carmon,202220,https://open.spotify.com/track/0DjoEWNm4HNqu0JmvlIPcI
25,Gonzo,Suspekt,201854,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
26,"Blueberry Faygo","Lil Mosey",201323,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
27,Gelato,"Benny Jamz",200548,https://open.spotify.com/track/3dradzYJqQ88RJEuQhXt5d
28,Burnout,Calby,200412,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
29,Fokuseret,Omar,197805,https://open.spotify.com/track/5ETsHOwoJmFVYVGjQ4yMVB
30,"Smid Tøjet",Jimilian,197638,https://open.spotify.com/track/0r4dJLEJYPVQhJDr5K0C0d
31,Ben,Tessa,195361,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
32,"Leap Of Faith",Christopher,195308,https://open.spotify.com/track/571B8LxRZwmG1S1YNfGq4Q
33,"Watermelon Sugar","Harry Styles",187055,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
