,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vil Du Med…",Suspekt,738821,https://open.spotify.com/track/1krkFcdC579tuWC334yn1z
2,"LA DANZA",Branco,707314,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
3,"Blinding Lights","The Weeknd",623017,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,"No Time To Die","Billie Eilish",545451,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
5,"Intentions (feat. Quavo)","Justin Bieber",535929,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
6,"The Box","Roddy Ricch",388084,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
7,"BACK TO BUSINESS",Branco,382171,https://open.spotify.com/track/39Bu3mloRh81RhFjGzhwIm
8,"PUB G (feat. Branco & Larry 44)",LOLO,374452,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
9,Gonzo,Suspekt,361426,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
10,NAPOLI,Branco,358945,https://open.spotify.com/track/1HGSCFnYif6HrsLqZHE2Kn
11,"Roses - Imanbek Remix","SAINt JHN",334784,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
12,"Forever (feat. Post Malone & Clever)","Justin Bieber",322764,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
13,"Don't Start Now","Dua Lipa",318877,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
14,"everything i wanted","Billie Eilish",313490,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
15,"Dance Monkey","Tones And I",309008,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,Yummy,"Justin Bieber",285606,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
17,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,285223,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
18,"Godzilla (feat. Juice WRLD)",Eminem,273958,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
19,Klovne,RH,272037,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
20,Ben,Tessa,268817,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
