,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ErruDumEllaHvad,ICEKIID,640580,https://open.spotify.com/track/5qaaQp6KvkEdB2q7SKQAcJ
2,"Snik Snak",Gilli,636091,https://open.spotify.com/track/1rExu7075LZrpDfT0Cg8Kk
3,"Savage Love (Laxed - Siren Beat)","Jawsh 685",543744,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
4,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,471154,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
5,L.U.V,Gilli,467217,https://open.spotify.com/track/1pfjtl0nQZlFJrjSMlai0F
6,Avatar,NODE,406836,https://open.spotify.com/track/0V6en6bpNQI7GIzI9TK6cu
7,"Breaking Me",Topic,376839,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
8,"Blinding Lights","The Weeknd",373407,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,Tilbage,KESI,342315,https://open.spotify.com/track/34mLaAt4HZzQOIplvRTURn
10,Brobizz,Gigis,321967,https://open.spotify.com/track/3xLgpixCKiEXyrBxpNJwga
11,"Watermelon Sugar","Harry Styles",313689,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,"Get Money (Motivation Session)",Branco,301199,https://open.spotify.com/track/39RRlNfnL18TNJ2i7XYxhH
13,"Rover (feat. DTG)",S1mba,290670,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
14,"Fra Start",ATYPISK,276406,https://open.spotify.com/track/7MsZ2Q78TeMj8PZVopNayZ
15,"Roses - Imanbek Remix","SAINt JHN",271054,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
16,"600 Heste",RH,262793,https://open.spotify.com/track/7EBGROSW7cVYXXBwl7kZbG
17,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",255786,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
18,SPORT,TopGunn,239863,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM
19,"In Your Eyes","The Weeknd",233042,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
20,Klovne,RH,221918,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
21,"KIKI (feat. Gilli)",LOLO,219523,https://open.spotify.com/track/4Mh5wGoyhpzYECcGdmXTmc
22,Bål,Tessa,210363,https://open.spotify.com/track/6wszpqvcWaarHjBKZuzFws
23,Secrets,Regard,207918,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
24,"LA DANZA",Branco,206448,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
25,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",205932,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
26,"Sol Over København (feat. KESI)",Citybois,204008,https://open.spotify.com/track/0NnmpMt8M9mthgrfuerLfD
27,Gonzo,Suspekt,195821,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
28,Solhverv,"Lord Siva",189614,https://open.spotify.com/track/5x6ggDM895CRGHxS3dwRHz
29,"Party Girl",StaySolidRocky,187672,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
30,Dior,"Pop Smoke",186675,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
31,Burnout,Calby,184391,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
32,"Toosie Slide",Drake,175087,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
