,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"PUB G (feat. Branco & Larry 44)",LOLO,643661,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
2,"Blinding Lights","The Weeknd",520540,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,"Limbo (feat. Gilli)",NODE,507863,https://open.spotify.com/track/1zGwWmxXJHFes4dfkbnBUC
4,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,436311,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
5,Yummy,"Justin Bieber",424822,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
6,"Roses - Imanbek Remix","SAINt JHN",412254,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,"The Box","Roddy Ricch",409407,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
8,"Dance Monkey","Tones And I",393396,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
9,"Life Is Good (feat. Drake)",Future,362225,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
10,Ben,Tessa,340427,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
11,"London Town",Branco,338003,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
12,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,335809,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
13,"Don't Start Now","Dua Lipa",320541,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
14,ROXANNE,"Arizona Zervas",317131,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
15,"everything i wanted","Billie Eilish",312823,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
16,Falling,"Trevor Daniel",299596,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
17,"VERDEN VENDER",Branco,290001,https://open.spotify.com/track/0qgqH6VqlkIXj45e5tTFCH
18,"Sektion (feat. Branco & Gilli)","Benny Jamz",284076,https://open.spotify.com/track/4vdIHpg2MlGO6WnHZE6oeW
19,Sjakalina,Tessa,273781,https://open.spotify.com/track/3LdRxPZLIouyXVFrJVLwg8
20,"Lærte Hende Alt (feat. Lærke Emilie)",ATYPISK,272086,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM
21,Circles,"Post Malone",262169,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
22,Flytilstand,"Benny Jamz",248476,https://open.spotify.com/track/6q90mFphEXrrBfIXAbDLY3
23,Memories,"Maroon 5",246262,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
24,"Someone You Loved","Lewis Capaldi",242554,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
25,"Jaloux (feat. ATYPISK)",Simsey,234511,https://open.spotify.com/track/6VW9gXYrQiTaWiR2Svql03
26,"Ride It",Regard,231053,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
27,"Ayy Macarena",Tyga,230434,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
28,Balou,"Benny Jamz",223995,https://open.spotify.com/track/4r2M86IJ1stGAI55PRRib0
29,"Adore You","Harry Styles",209930,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
30,"Lose You To Love Me","Selena Gomez",208497,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
31,Lie,"Lukas Graham",206425,https://open.spotify.com/track/27NaNvlmvOHqTF0VPjuRSD
32,Rare,"Selena Gomez",205304,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
33,Brandvarm,"Josef Og Elias",203903,https://open.spotify.com/track/5B6QJikgE2fsGpR1BBkapc
34,"Vai Amor",Gilli,201466,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
35,"Super Mario",NODE,197366,https://open.spotify.com/track/1LsZymF4MDfVMuzLkySq5P
36,"Before You Go","Lewis Capaldi",196153,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
37,"bad guy","Billie Eilish",189818,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
38,"Dobbelt (feat. Dayzon)",Jamaika,186008,https://open.spotify.com/track/332HLjESTywYrDN5is9mdT
