,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,567040,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
2,"Blinding Lights","The Weeknd",517773,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,"Min Bror (Josef Og Elias X ICEKIID)","Josef Og Elias",410248,https://open.spotify.com/track/7ucXd8IbW11iUAOqxmZo7k
4,"Roses - Imanbek Remix","SAINt JHN",401766,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"LA DANZA",Branco,365904,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
6,Klovne,RH,326252,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
7,"Blueberry Faygo","Lil Mosey",313658,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
8,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,303345,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
9,"WHIP WHOP",I$WAAL,293021,https://open.spotify.com/track/1PxGMn63iT7sc4eS52c9UP
10,"In Your Eyes","The Weeknd",291126,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
11,"death bed (coffee for your head)",Powfu,280870,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
12,"Intentions (feat. Quavo)","Justin Bieber",280548,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
13,"Don't Start Now","Dua Lipa",279536,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
14,"Så'n der",Tessa,267076,https://open.spotify.com/track/7fuPKXieOyX6mkFHkfcIJd
15,"Say So","Doja Cat",266880,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
16,Supalonely,BENEE,251210,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
17,"The Box","Roddy Ricch",239319,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
18,Gonzo,Suspekt,236469,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
19,"Dance Monkey","Tones And I",234024,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
20,"PUB G (feat. Branco & Larry 44)",LOLO,231136,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
21,"Smid Tøjet",Jimilian,218724,https://open.spotify.com/track/0r4dJLEJYPVQhJDr5K0C0d
22,Skechers,DripReport,211129,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
23,"Before You Go","Lewis Capaldi",210535,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
24,"Someone You Loved","Lewis Capaldi",210391,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
25,"Sunday Best",Surfaces,207094,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
26,Salt,"Ava Max",206960,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
27,Savage,"Megan Thee Stallion",201753,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
28,Burnout,Calby,196278,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
29,Falling,"Trevor Daniel",190451,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
30,"Vil Du Med…",Suspekt,190144,https://open.spotify.com/track/1krkFcdC579tuWC334yn1z
31,"Pas Oublié (feat. Gilli)","Isaac Kasule",189382,https://open.spotify.com/track/6kyJjIpIjaoBaNx0VjxcwL
32,"Break My Heart","Dua Lipa",188119,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
33,"Adore You","Harry Styles",184804,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
34,Ghost,Christopher,180820,https://open.spotify.com/track/1ySdKj9IbvIRCyjPBe6NpV
35,"WHATS POPPIN","Jack Harlow",180218,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
36,Ben,Tessa,176620,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
37,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,176547,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
38,Fugtig,"Ude Af Kontrol",172516,https://open.spotify.com/track/3k6n8FdhntF9nzQpVn0OFs
39,"Winter Season (feat. Gilli)",Amina,170352,https://open.spotify.com/track/4XVZxIg3UjUTZxPlC5lmnj
40,Gutterne,Specktors,169835,https://open.spotify.com/track/4xTlom5tmNmAvQ1FCgtfyM
41,Circles,"Post Malone",169038,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
42,"London Town",Branco,168043,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
43,"Some Say",Nea,166515,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
44,"BELIEVE IT",PARTYNEXTDOOR,160698,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
45,"Bilen Skrider (feat. Orgi-E)",NODE,157522,https://open.spotify.com/track/6Yn4B0wEfKLfmtaP7KR7KA
46,NAPOLI,Branco,155905,https://open.spotify.com/track/1HGSCFnYif6HrsLqZHE2Kn
47,"Glemmer Alting",Faustix,154660,https://open.spotify.com/track/52OdlOXMRYH9hNa1xpRVj1
48,"Vai Amor",Gilli,154512,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
49,Scars,"Lukas Graham",153541,https://open.spotify.com/track/0HCjXEQF533z8Z9LuX28cL
50,"I’m Ready (with Demi Lovato)","Sam Smith",146387,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
51,"Sex On The Beach","Ude Af Kontrol",145826,https://open.spotify.com/track/3yx4uZSBSLgxaGhSqNw4RR
52,"Life Is Good (feat. Drake)",Future,134129,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
53,"Slip Away",Phlake,133267,https://open.spotify.com/track/0yYp0TyV9km8QxzeVc75uy
54,"Room For Love","Lord Siva",131784,https://open.spotify.com/track/4X1r74w09Ok0KgHSziwVWA
55,"Godzilla (feat. Juice WRLD)",Eminem,129821,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
