,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Så'n der",Tessa,546077,https://open.spotify.com/track/7fuPKXieOyX6mkFHkfcIJd
2,"Blinding Lights","The Weeknd",510417,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,"LA DANZA",Branco,499577,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
4,Klovne,RH,368896,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
5,"The Box","Roddy Ricch",344455,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"Intentions (feat. Quavo)","Justin Bieber",333661,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,"Vil Du Med…",Suspekt,328724,https://open.spotify.com/track/1krkFcdC579tuWC334yn1z
8,"PUB G (feat. Branco & Larry 44)",LOLO,310306,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
9,"Roses - Imanbek Remix","SAINt JHN",310291,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,Gonzo,Suspekt,302277,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
11,Corona,ADHD,297129,https://open.spotify.com/track/0frObKN0bCAAFmFMnIdOU1
12,"Nådig (feat. NODE)","Larry 44",296213,https://open.spotify.com/track/31qCRqNGYDbnAs143bWUBa
13,"Don't Start Now","Dua Lipa",285947,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
14,"Say So","Doja Cat",280220,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
15,"death bed (coffee for your head)",Powfu,268621,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
16,"Dance Monkey","Tones And I",257941,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
17,"Godzilla (feat. Juice WRLD)",Eminem,255421,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
18,Supalonely,BENEE,236735,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
19,Ben,Tessa,235831,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
20,"Someone You Loved","Lewis Capaldi",229735,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,Gutterne,Specktors,224692,https://open.spotify.com/track/4xTlom5tmNmAvQ1FCgtfyM
22,Falling,"Trevor Daniel",219126,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
23,"Sunday Best",Surfaces,218522,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
24,"Before You Go","Lewis Capaldi",214562,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
25,"Pas Oublié (feat. Gilli)","Isaac Kasule",207657,https://open.spotify.com/track/6kyJjIpIjaoBaNx0VjxcwL
26,NAPOLI,Branco,206748,https://open.spotify.com/track/1HGSCFnYif6HrsLqZHE2Kn
27,"Adore You","Harry Styles",205424,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
28,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,204838,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
29,"BACK TO BUSINESS",Branco,202764,https://open.spotify.com/track/39Bu3mloRh81RhFjGzhwIm
30,"Winter Season (feat. Gilli)",Amina,199204,https://open.spotify.com/track/4XVZxIg3UjUTZxPlC5lmnj
31,"London Town",Branco,196036,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
32,"Blueberry Faygo","Lil Mosey",193259,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
33,Circles,"Post Malone",192654,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
34,"everything i wanted","Billie Eilish",188330,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
35,Salt,"Ava Max",187988,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
36,ROXANNE,"Arizona Zervas",187191,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
37,"No Time To Die","Billie Eilish",186025,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
38,Burnout,Calby,182702,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
39,"Some Say",Nea,179314,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
40,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,176976,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
41,"VERDEN VENDER",Branco,164919,https://open.spotify.com/track/1k2HuMmXVnn9X4mGZIwIi4
42,"Life Is Good (feat. Drake)",Future,162327,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
43,"Lærte Hende Alt (feat. Lærke Emilie)",ATYPISK,160450,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM
44,"Sex On The Beach","Ude Af Kontrol",159965,https://open.spotify.com/track/3yx4uZSBSLgxaGhSqNw4RR
45,"Po Po",ZK,155689,https://open.spotify.com/track/3g1yNMutQGZUmcaVArVaf2
46,"Vai Amor",Gilli,152590,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
47,"bad guy","Billie Eilish",152415,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
48,"Se Os",Citybois,150610,https://open.spotify.com/track/4qgyniHGf79c1UUiIOY368
