,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"LA DANZA",Branco,799537,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
2,"Blinding Lights","The Weeknd",632564,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,"BACK TO BUSINESS",Branco,502460,https://open.spotify.com/track/39Bu3mloRh81RhFjGzhwIm
4,NAPOLI,Branco,492337,https://open.spotify.com/track/1HGSCFnYif6HrsLqZHE2Kn
5,"The Box","Roddy Ricch",432337,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,Intentions,"Justin Bieber",429972,https://open.spotify.com/track/364dI1bYnvamSnBJ8JcNzN
7,"PUB G (feat. Branco & Larry 44)",LOLO,418063,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
8,"MON CHERI (feat. Amina)",Branco,348787,https://open.spotify.com/track/6k5MGDSLnIWG2YfpiYHWd9
9,"Roses - Imanbek Remix","SAINt JHN",344749,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,"Dance Monkey","Tones And I",336992,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
11,"Don't Start Now","Dua Lipa",335105,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
12,"Godzilla (feat. Juice WRLD)",Eminem,329185,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
13,"VERDEN VENDER",Branco,322147,https://open.spotify.com/track/1k2HuMmXVnn9X4mGZIwIi4
14,MURDA,Branco,316409,https://open.spotify.com/track/4qlDY0QJDcOQO8ynl73Eer
15,"everything i wanted","Billie Eilish",311398,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
16,"Life Is Good (feat. Drake)",Future,289428,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
17,"Winter Season (feat. Gilli)",Amina,287393,https://open.spotify.com/track/4XVZxIg3UjUTZxPlC5lmnj
18,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,285485,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
19,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,282906,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
20,Falling,"Trevor Daniel",276859,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
21,"MONEY MOVES",Branco,267066,https://open.spotify.com/track/3NX8JSESVnhP7pv2BTW8sU
22,Ben,Tessa,261581,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
23,ROXANNE,"Arizona Zervas",250507,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
24,"Someone You Loved","Lewis Capaldi",239567,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
25,"London Town",Branco,238089,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
26,Yummy,"Justin Bieber",232466,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
27,"BELIEVER (feat. Nafe Smallz)",Branco,228943,https://open.spotify.com/track/1IWX3CqAn1r1zJd3FXFgQV
28,"La Trompeta (feat. MellemFingaMuzik)",Camur,228027,https://open.spotify.com/track/0oHSxbawtdWBH9N8SqCjfq
29,"Before You Go","Lewis Capaldi",225306,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
30,EAZY,Branco,222975,https://open.spotify.com/track/1bcGbqUnLRFxbyxp3OcVMf
31,INTRO,Branco,221184,https://open.spotify.com/track/5Wb3N1h0TEzLP32A6mu3iF
32,Circles,"Post Malone",221073,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
33,"What If I Told You That I Love You","Ali Gatie",211849,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
34,"FRENCH CONNECTION (feat. Daks)",Branco,206165,https://open.spotify.com/track/2geA4TuFnIvvwaNU7etlYe
35,"NO GAMES",Branco,204676,https://open.spotify.com/track/1J5Tjz1SK5oe43febMceje
36,"LEVEL UP",Branco,204084,https://open.spotify.com/track/4PmC3V2AQCyFXLknSIW4JB
37,"Adore You","Harry Styles",203929,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
38,"bad guy","Billie Eilish",200124,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
39,Gutterne,Specktors,196470,https://open.spotify.com/track/4xTlom5tmNmAvQ1FCgtfyM
40,Memories,"Maroon 5",191688,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
41,"Lærte Hende Alt (feat. Lærke Emilie)",ATYPISK,191409,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM
42,MOTIVATION,Branco,188391,https://open.spotify.com/track/054IaHMArRfHbI3S7NpCOo
43,"Lose Control",MEDUZA,185214,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
44,"Limbo (feat. Gilli)",NODE,183440,https://open.spotify.com/track/1zGwWmxXJHFes4dfkbnBUC
45,"You should be sad",Halsey,180338,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
46,Salt,"Ava Max",175957,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
47,Sjakalina,Tessa,174094,https://open.spotify.com/track/3LdRxPZLIouyXVFrJVLwg8
48,"Vai Amor",Gilli,172358,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
49,"Ride It",Regard,171727,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
50,Ghost,Christopher,160587,https://open.spotify.com/track/1ySdKj9IbvIRCyjPBe6NpV
51,"Say So","Doja Cat",158771,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
52,"Know Your Worth",Khalid,155225,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
53,"If the World Was Ending - feat. Julia Michaels","JP Saxe",152424,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
54,"Super Mario",NODE,139576,https://open.spotify.com/track/1LsZymF4MDfVMuzLkySq5P
55,"Ayy Macarena",Tyga,139158,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
