,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"LA DANZA",Branco,712379,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
2,"Blinding Lights","The Weeknd",632734,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,"Vil Du Med…",Suspekt,577155,https://open.spotify.com/track/1krkFcdC579tuWC334yn1z
4,"Intentions (feat. Quavo)","Justin Bieber",476445,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
5,Gonzo,Suspekt,430107,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
6,"PUB G (feat. Branco & Larry 44)",LOLO,373381,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
7,"No Time To Die","Billie Eilish",370710,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
8,"The Box","Roddy Ricch",366156,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
9,"Roses - Imanbek Remix","SAINt JHN",351398,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,"BACK TO BUSINESS",Branco,334677,https://open.spotify.com/track/39Bu3mloRh81RhFjGzhwIm
11,"After Hours","The Weeknd",327211,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
12,NAPOLI,Branco,312527,https://open.spotify.com/track/1HGSCFnYif6HrsLqZHE2Kn
13,"Don't Start Now","Dua Lipa",311091,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
14,"Po Po",ZK,301755,https://open.spotify.com/track/3g1yNMutQGZUmcaVArVaf2
15,"Dance Monkey","Tones And I",293422,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,291501,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
17,Klovne,RH,287488,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
18,"everything i wanted","Billie Eilish",275430,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
19,Ben,Tessa,269199,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
20,"Godzilla (feat. Juice WRLD)",Eminem,248297,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
21,"Winter Season (feat. Gilli)",Amina,246535,https://open.spotify.com/track/4XVZxIg3UjUTZxPlC5lmnj
22,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,246136,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
23,Gutterne,Specktors,240469,https://open.spotify.com/track/4xTlom5tmNmAvQ1FCgtfyM
24,"Life Is Good (feat. Drake)",Future,234752,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
25,"Someone You Loved","Lewis Capaldi",234675,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
26,Falling,"Trevor Daniel",232845,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
27,"Before You Go","Lewis Capaldi",225894,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
28,"Forever (feat. Post Malone & Clever)","Justin Bieber",224441,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
29,"London Town",Branco,222324,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
30,ROXANNE,"Arizona Zervas",214113,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
31,"VERDEN VENDER",Branco,210448,https://open.spotify.com/track/1k2HuMmXVnn9X4mGZIwIi4
32,"Adore You","Harry Styles",209742,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
33,Yummy,"Justin Bieber",206641,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
34,"Typisk Mig",Jimilian,202037,https://open.spotify.com/track/3dohd3QOpfp03fRuxiQil9
35,Circles,"Post Malone",199965,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
36,"Say So","Doja Cat",197206,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
37,Salt,"Ava Max",190432,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
38,"La Trompeta (feat. MellemFingaMuzik)",Camur,189412,https://open.spotify.com/track/0oHSxbawtdWBH9N8SqCjfq
39,"bad guy","Billie Eilish",189360,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
40,"Lærte Hende Alt (feat. Lærke Emilie)",ATYPISK,178893,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM
41,"Lose Control",MEDUZA,178663,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
