,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ErruDumEllaHvad,ICEKIID,583997,https://open.spotify.com/track/5qaaQp6KvkEdB2q7SKQAcJ
2,"Snik Snak",Gilli,484575,https://open.spotify.com/track/1rExu7075LZrpDfT0Cg8Kk
3,"ALL MY LOVE (feat. ATYPISK)",LOLO,468625,https://open.spotify.com/track/0isi84Hc9HMJnK7j8OKueg
4,"Savage Love (Laxed - Siren Beat)","Jawsh 685",468357,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
5,Solhverv,"Lord Siva",418297,https://open.spotify.com/track/5x6ggDM895CRGHxS3dwRHz
6,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,406976,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
7,L.U.V,Gilli,388958,https://open.spotify.com/track/1pfjtl0nQZlFJrjSMlai0F
8,"Breaking Me",Topic,387154,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
9,Avatar,NODE,353979,https://open.spotify.com/track/0V6en6bpNQI7GIzI9TK6cu
10,"Blinding Lights","The Weeknd",343009,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"Ballin' (feat. Kojo Funds)",Branco,329772,https://open.spotify.com/track/4AUqlf2xxTBTOjBaUiIejM
12,"Come & Go (with Marshmello)","Juice WRLD",316207,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
13,Tilbage,KESI,308141,https://open.spotify.com/track/34mLaAt4HZzQOIplvRTURn
14,"Watermelon Sugar","Harry Styles",297781,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",272807,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
16,"Rover (feat. DTG)",S1mba,248481,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
17,"Roses - Imanbek Remix","SAINt JHN",248405,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
18,Brobizz,Gigis,237837,https://open.spotify.com/track/3xLgpixCKiEXyrBxpNJwga
19,"POPSTAR (feat. Drake)","DJ Khaled",229732,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
20,Rundt,"Benny Jamz",225990,https://open.spotify.com/track/4VqVMdblNgYZmXSOOmHcB2
21,"Wishing Well","Juice WRLD",212185,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
22,"In Your Eyes","The Weeknd",211792,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
23,"LA DANZA",Branco,210153,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
24,Secrets,Regard,208262,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
25,SPORT,TopGunn,200379,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM
26,Klovne,RH,199847,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
27,Gonzo,Suspekt,194674,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
28,"600 Heste",RH,193473,https://open.spotify.com/track/7EBGROSW7cVYXXBwl7kZbG
29,"Sol Over København (feat. KESI)",Citybois,192138,https://open.spotify.com/track/0NnmpMt8M9mthgrfuerLfD
30,Burnout,Calby,191294,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
31,"Got It On Me","Pop Smoke",190988,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
32,"KIKI (feat. Gilli)",LOLO,190238,https://open.spotify.com/track/4Mh5wGoyhpzYECcGdmXTmc
33,"Fra Start",ATYPISK,189254,https://open.spotify.com/track/7MsZ2Q78TeMj8PZVopNayZ
34,Dior,"Pop Smoke",180503,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
35,"Rewinder (feat. Lamin & NODE)",Jamaika,175495,https://open.spotify.com/track/5W6XySCHyqwP7XDU303Qkq
36,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",172425,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
37,"Leap Of Faith",Christopher,166449,https://open.spotify.com/track/571B8LxRZwmG1S1YNfGq4Q
38,Svag,"Victor Leksell",165195,https://open.spotify.com/track/4SS4YfDAEQG0fZAe1xfgn3
39,Bål,Tessa,161620,https://open.spotify.com/track/6wszpqvcWaarHjBKZuzFws
40,Ben,Tessa,161058,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
41,"Some Say - Felix Jaehn Remix",Nea,158048,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
42,"Party Girl (Remix)",StaySolidRocky,157130,https://open.spotify.com/track/1eIsyfDHoEbemSnQFsgyAv
43,"Smid Tøjet",Jimilian,152308,https://open.spotify.com/track/0r4dJLEJYPVQhJDr5K0C0d
44,"Dance Monkey","Tones And I",152006,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
45,"Señorita (feat. Fouli)",Gobs,151942,https://open.spotify.com/track/4QHO0xwZVLSSX7Pi7HW1Wu
46,"WHIP WHOP",I$WAAL,149760,https://open.spotify.com/track/1PxGMn63iT7sc4eS52c9UP
47,"Tættere End Vi Tror",P3,148755,https://open.spotify.com/track/4j5QQ3eZNpmxT4inyVEaAU
48,"Life's A Mess (feat. Halsey)","Juice WRLD",147035,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
49,"Blueberry Faygo","Lil Mosey",146721,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
50,"Someone You Loved","Lewis Capaldi",144619,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
