,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,SPORT,TopGunn,672968,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM
2,"THE SCOTTS","THE SCOTTS",471039,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
3,"Blinding Lights","The Weeknd",465564,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"NO SKRUB$",TopGunn,442805,https://open.spotify.com/track/6iV6FxCwplHr8IzwdnX5xX
5,"Toosie Slide",Drake,442007,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
6,"SKRIV TIL MIG (feat. ICEKIID)",TopGunn,362719,https://open.spotify.com/track/2c4lM4r3EAwZIHzaNqJPRm
7,"Roses - Imanbek Remix","SAINt JHN",353392,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
8,MASH,TopGunn,336595,https://open.spotify.com/track/7p3h4ZE3d44Yp1NtVUvAEa
9,"Min Bror (Josef Og Elias X ICEKIID)","Josef Og Elias",327948,https://open.spotify.com/track/7ucXd8IbW11iUAOqxmZo7k
10,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,318021,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
11,"LA DANZA",Branco,309440,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
12,Klovne,RH,292123,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
13,"Tættere End Vi Tror",P3,270919,https://open.spotify.com/track/4j5QQ3eZNpmxT4inyVEaAU
14,BELLA,TopGunn,269493,https://open.spotify.com/track/7a3USKN1W3QrzN4HQwcMnz
15,"EN GANG MERE",TopGunn,265249,https://open.spotify.com/track/3lYWewgc6roSKDsgrV6PPb
16,"Blueberry Faygo","Lil Mosey",265243,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
17,"WHIP WHOP",I$WAAL,262210,https://open.spotify.com/track/1PxGMn63iT7sc4eS52c9UP
18,Righteous,"Juice WRLD",253806,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
19,"In Your Eyes","The Weeknd",253036,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
20,"death bed (coffee for your head)",Powfu,245830,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
21,"Say So","Doja Cat",238765,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
22,"Don't Start Now","Dua Lipa",228513,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
23,"Intentions (feat. Quavo)","Justin Bieber",228310,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
24,Supalonely,BENEE,219724,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
25,"Så'n der",Tessa,219619,https://open.spotify.com/track/7fuPKXieOyX6mkFHkfcIJd
26,Gonzo,Suspekt,212628,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
27,"The Box","Roddy Ricch",204742,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
