,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Sol Over København (feat. KESI)",Citybois,604243,https://open.spotify.com/track/3vKxpV0TZem4Ton7M8c1UJ
2,"Tættere End Vi Tror",P3,584541,https://open.spotify.com/track/4j5QQ3eZNpmxT4inyVEaAU
3,SPORT,TopGunn,530627,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM
4,"Blinding Lights","The Weeknd",483398,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,"Toosie Slide",Drake,478495,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
6,"THE SCOTTS","THE SCOTTS",410377,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
7,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,409025,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
8,"Roses - Imanbek Remix","SAINt JHN",367619,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
9,"NO SKRUB$",TopGunn,352420,https://open.spotify.com/track/6iV6FxCwplHr8IzwdnX5xX
10,"LA DANZA",Branco,318122,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
11,"Min Bror (Josef Og Elias X ICEKIID)","Josef Og Elias",317767,https://open.spotify.com/track/7ucXd8IbW11iUAOqxmZo7k
12,Klovne,RH,302520,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
13,"In Your Eyes","The Weeknd",269984,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
14,"Blueberry Faygo","Lil Mosey",265379,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
15,"WHIP WHOP",I$WAAL,260889,https://open.spotify.com/track/1PxGMn63iT7sc4eS52c9UP
16,"death bed (coffee for your head)",Powfu,245159,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
17,"Say So","Doja Cat",236597,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
18,"Intentions (feat. Quavo)","Justin Bieber",236323,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
19,"SKRIV TIL MIG (feat. ICEKIID)",TopGunn,234728,https://open.spotify.com/track/2c4lM4r3EAwZIHzaNqJPRm
20,Sandheden,Jimilian,231824,https://open.spotify.com/track/4mWw2Yt7o14GkkIdTrrxuc
21,Gonzo,Suspekt,228095,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
22,"Don't Start Now","Dua Lipa",227783,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
23,Supalonely,BENEE,223693,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
24,"Så'n der",Tessa,223570,https://open.spotify.com/track/7fuPKXieOyX6mkFHkfcIJd
25,MASH,TopGunn,210674,https://open.spotify.com/track/7p3h4ZE3d44Yp1NtVUvAEa
26,Righteous,"Juice WRLD",205655,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
27,"Before You Go","Lewis Capaldi",204234,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
28,"Smid Tøjet",Jimilian,204117,https://open.spotify.com/track/0r4dJLEJYPVQhJDr5K0C0d
29,Burnout,Calby,203557,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
30,"Someone You Loved","Lewis Capaldi",202618,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
31,"The Box","Roddy Ricch",200605,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
32,"Dance Monkey","Tones And I",199960,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
33,Salt,"Ava Max",196031,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
