,Position,Track Name,Artist,Streams,URL,date,uri_x,release_date,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,uri_y
1783,184,Boombadah basta,D&A,63208,https://open.spotify.com/track/04PtTM5X7ktmMzseO5mpW8,2020-02-28,spotify:track:04PtTM5X7ktmMzseO5mpW8,2020-02-14,178076,0.802,0.0157,0.846,0.192,0.329,-6.557,0.0375,0.932,118.04,4,spotify:track:04PtTM5X7ktmMzseO5mpW8
1784,185,Go Stupid (feat. Mike WiLL Made-It),Polo G,63115,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI,2020-02-28,spotify:track:74fV8TuLZKVzSIOOGu8wwI,2020-02-14,165726,0.92,0.0277,0.833,0.0,0.0596,-3.18,0.253,0.645,141.033,4,spotify:track:74fV8TuLZKVzSIOOGu8wwI
1785,186,BOP,DaBaby,63059,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,2020-02-28,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,2019-09-27,159714,0.769,0.189,0.787,0.0,0.129,-3.909,0.367,0.836,126.77,4,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN
1786,187,Proletar (Hvor Jeg Står),Suspekt,63051,https://open.spotify.com/track/4XNxIEYsEjK2Cu67brXBGq,2020-02-28,spotify:track:4XNxIEYsEjK2Cu67brXBGq,2007-01-01,233280,0.663,0.462,0.761,0.0,0.329,-5.46,0.283,0.629,74.647,4,spotify:track:4XNxIEYsEjK2Cu67brXBGq
1787,188,Lykken Kommer,Suspekt,63025,https://open.spotify.com/track/41558pENRQoHaMIOsurjts,2020-02-28,spotify:track:41558pENRQoHaMIOsurjts,2020-02-14,231040,0.74,0.19,0.549,0.0,0.0778,-8.834,0.32,0.0895,160.04,4,spotify:track:41558pENRQoHaMIOsurjts
1788,189,Detaljen (feat. Fouli),TopGunn,62825,https://open.spotify.com/track/7FXfrOsoBv8AU9E7hWRTbH,2020-02-28,spotify:track:7FXfrOsoBv8AU9E7hWRTbH,2019-04-26,174734,0.798,0.0705,0.612,0.0,0.127,-7.072,0.262,0.792,162.015,4,spotify:track:7FXfrOsoBv8AU9E7hWRTbH
1789,190,All Around Me,Justin Bieber,62570,https://open.spotify.com/track/5Py8zRKGkZvgHniVVtvNCN,2020-02-28,spotify:track:5Py8zRKGkZvgHniVVtvNCN,2020-02-14,136906,0.566,0.809,0.438,0.0,0.212,-7.564,0.0367,0.692,117.127,4,spotify:track:5Py8zRKGkZvgHniVVtvNCN
1790,191,Sweet Dreams (Are Made of This),Winati,62387,https://open.spotify.com/track/1o9D0rUusi2V5idyOEOPII,2020-02-28,spotify:track:1o9D0rUusi2V5idyOEOPII,2019-06-21,176773,0.815,0.399,0.647,0.0,0.0738,-7.162,0.218,0.182,125.95,4,spotify:track:1o9D0rUusi2V5idyOEOPII
1791,192,Større End Os,Medina,61987,https://open.spotify.com/track/0VL0jLRV0iyTBFQWqCjrDW,2020-02-28,spotify:track:0VL0jLRV0iyTBFQWqCjrDW,2020-01-10,177634,0.52,0.406,0.657,0.0,0.0945,-6.317,0.0494,0.3,99.607,4,spotify:track:0VL0jLRV0iyTBFQWqCjrDW
1792,193,INTRO,Branco,61869,https://open.spotify.com/track/5Wb3N1h0TEzLP32A6mu3iF,2020-02-28,spotify:track:5Wb3N1h0TEzLP32A6mu3iF,2020-02-05,104729,0.594,0.38,0.49,0.0,0.204,-7.637,0.543,0.365,92.993,1,spotify:track:5Wb3N1h0TEzLP32A6mu3iF
1793,194,Gothersgade,Artigeardit,61578,https://open.spotify.com/track/2fzuN1At48Wz4hdP4hXqNq,2020-02-28,spotify:track:2fzuN1At48Wz4hdP4hXqNq,2020-01-31,131717,0.81,0.184,0.595,0.0,0.094,-7.65,0.166,0.517,97.947,4,spotify:track:2fzuN1At48Wz4hdP4hXqNq
1794,195,Drømte,Gobs,61559,https://open.spotify.com/track/4to3Y8RWYmWV2AUCkUPfAp,2020-02-28,spotify:track:4to3Y8RWYmWV2AUCkUPfAp,2020-02-21,167611,0.519,0.113,0.472,3.54e-06,0.137,-7.88,0.311,0.365,87.192,4,spotify:track:4to3Y8RWYmWV2AUCkUPfAp
1795,196,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,61215,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,2020-02-28,spotify:track:2FvD20Z8aoWIePi7PoN8sG,2019-09-27,136366,0.816,0.0794,0.582,5.84e-06,0.0916,-4.141,0.341,0.542,160.004,4,spotify:track:2FvD20Z8aoWIePi7PoN8sG
1796,197,Room For Love,Lord Siva,61165,https://open.spotify.com/track/4X1r74w09Ok0KgHSziwVWA,2020-02-28,spotify:track:4X1r74w09Ok0KgHSziwVWA,2020-01-31,152106,0.708,0.278,0.54,0.0,0.14,-4.292,0.126,0.208,179.927,4,spotify:track:4X1r74w09Ok0KgHSziwVWA
1797,198,Soldat,Baloosh,61148,https://open.spotify.com/track/35eqZaftqsPaMepLdDwAu4,2020-02-28,spotify:track:35eqZaftqsPaMepLdDwAu4,2020-02-28,144500,0.735,0.0439,0.637,0.0,0.0805,-4.532,0.0913,0.261,119.801,4,spotify:track:35eqZaftqsPaMepLdDwAu4
1798,199,Old Me,5 Seconds of Summer,60899,https://open.spotify.com/track/5RUUkFNqH3GRKHg1xjprOb,2020-02-28,spotify:track:5RUUkFNqH3GRKHg1xjprOb,2020-02-21,184666,0.721,0.304,0.621,0.0,0.266,-3.639,0.0483,0.473,127.976,4,spotify:track:5RUUkFNqH3GRKHg1xjprOb
1799,200,Fuck Af (feat. Milbo),Fie Laursen,60894,https://open.spotify.com/track/7iXrDMiAinSZpD1M6zyBKY,2020-02-28,spotify:track:7iXrDMiAinSZpD1M6zyBKY,2019-12-27,150409,0.773,0.184,0.64,0.0,0.0987,-4.584,0.0386,0.838,110.017,4,spotify:track:7iXrDMiAinSZpD1M6zyBKY
1800,1,LA DANZA,Branco,578618,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0,2020-03-06,spotify:track:5M9phYS7KgM3ZXKTSlgLv0,2020-02-05,185711,0.78,0.228,0.665,1.25e-05,0.0967,-6.017,0.162,0.592,127.201,4,spotify:track:5M9phYS7KgM3ZXKTSlgLv0
1801,2,Blinding Lights,The Weeknd,552683,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2020-03-06,spotify:track:0sf12qNH5qcw8qpgymFOqD,2019-11-29,201573,0.513,0.00147,0.796,0.000209,0.0938,-4.075,0.0629,0.345,171.017,4,spotify:track:0sf12qNH5qcw8qpgymFOqD
1802,3,Vil Du Med…,Suspekt,402773,https://open.spotify.com/track/1krkFcdC579tuWC334yn1z,2020-03-06,spotify:track:1krkFcdC579tuWC334yn1z,2020-02-14,214440,0.832,0.0941,0.631,1.29e-06,0.0995,-10.537,0.26,0.299,104.978,4,spotify:track:1krkFcdC579tuWC334yn1z
1803,4,Intentions (feat. Quavo),Justin Bieber,355179,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,2020-03-06,spotify:track:4umIPjkehX1r7uhmGvXiSV,2020-02-14,212866,0.806,0.3,0.546,0.0,0.102,-6.637,0.0575,0.874,147.986,4,spotify:track:4umIPjkehX1r7uhmGvXiSV
